등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,131,20150,4.37
2,국어,125,32740,7.1
3,국어,117,57162,12.39
4,국어,107,80470,17.45
5,국어,96,88252,19.13
6,국어,84,77796,16.87
7,국어,72,56519,12.25
8,국어,63,32902,7.13
9,국어,63미만,15261,3.31
1,수학,131,18199,4.11
2,수학,123,32881,7.42
3,수학,117,56977,12.85
4,수학,110,78413,17.69
5,수학,96,79753,17.99
6,수학,78,79117,17.85
7,수학,72,56793,12.81
8,수학,69,26051,5.88
9,수학,69미만,15049,3.4
1,영어,90,28587,6.22
2,영어,80,75100,16.35
3,영어,70,98149,21.37
4,영어,60,99320,21.62
5,영어,50,69897,15.22
6,영어,40,41611,9.06
7,영어,30,24969,5.44
8,영어,20,17212,3.75
9,영어,20미만,4507,0.98
1,한국사,40,90950,19.62
2,한국사,35,72061,15.55
3,한국사,30,73674,15.9
4,한국사,25,72408,15.62
5,한국사,20,62758,13.54
6,한국사,15,44764,9.66
7,한국사,10,34158,7.37
8,한국사,5,11380,2.46
9,한국사,5미만,1333,0.29
1,생활과 윤리,68,6688,4.23
2,생활과 윤리,64,11195,7.09
3,생활과 윤리,59,19984,12.65
4,생활과 윤리,52,28891,18.29
5,생활과 윤리,46,32103,20.33
6,생활과 윤리,42,22959,14.54
7,생활과 윤리,38,19035,12.05
8,생활과 윤리,34,12718,8.05
9,생활과 윤리,34미만,4365,2.76
1,윤리와 사상,66,2173,5.46
2,윤리와 사상,63,2441,6.14
3,윤리와 사상,59,5347,13.44
4,윤리와 사상,53,7326,18.41
5,윤리와 사상,46,6714,16.87
6,윤리와 사상,41,6873,17.27
7,윤리와 사상,37,4846,12.18
8,윤리와 사상,35,2896,7.28
9,윤리와 사상,35미만,1171,2.94
1,한국지리,67,1550,4.44
2,한국지리,64,3305,9.46
3,한국지리,60,3694,10.57
4,한국지리,53,5765,16.5
5,한국지리,44,8499,24.33
6,한국지리,41,4616,13.21
7,한국지리,38,5352,15.32
8,한국지리,37,835,2.39
9,한국지리,37미만,1317,3.77
1,세계지리,66,1247,4.16
2,세계지리,63,3161,10.54
3,세계지리,60,2934,9.78
4,세계지리,54,4771,15.9
5,세계지리,46,6301,21
6,세계지리,40,5998,19.99
7,세계지리,37,2986,9.95
8,세계지리,34,2244,7.48
9,세계지리,34미만,360,1.2
1,동아시아사,66,935,5.34
2,동아시아사,64,1283,7.32
3,동아시아사,60,2002,11.43
4,동아시아사,54,2880,16.44
5,동아시아사,45,3675,20.97
6,동아시아사,40,3717,21.21
7,동아시아사,38,1597,9.11
8,동아시아사,35,1127,6.43
9,동아시아사,35미만,305,1.74
1,세계사,66,1042,6.74
2,세계사,64,892,5.77
3,세계사,60,1716,11.1
4,세계사,53,2717,17.58
5,세계사,45,3220,20.83
6,세계사,41,2352,15.22
7,세계사,38,2081,13.46
8,세계사,36,1018,6.59
9,세계사,36미만,419,2.71
1,경제,69,255,4.23
2,경제,65,436,7.23
3,경제,59,775,12.85
4,경제,52,986,16.35
5,경제,45,1248,20.7
6,경제,41,1032,17.11
7,경제,39,739,12.26
8,경제,36,362,6
9,경제,36미만,197,3.27
1,정치와 법,65,1215,4.06
2,정치와 법,62,3619,12.1
3,정치와 법,59,3346,11.19
4,정치와 법,55,3953,13.21
5,정치와 법,47,6007,20.08
6,정치와 법,40,5615,18.77
7,정치와 법,37,3020,10.1
8,정치와 법,34,2391,7.99
9,정치와 법,34미만,749,2.5
1,사회·문화,65,9486,5.77
2,사회·문화,62,10313,6.27
3,사회·문화,59,19019,11.56
4,사회·문화,54,33719,20.5
5,사회·문화,48,26554,16.15
6,사회·문화,41,28714,17.46
7,사회·문화,36,20578,12.51
8,사회·문화,32,12640,7.69
9,사회·문화,32미만,3433,2.09
1,물리학 Ⅰ,65,2511,4.33
2,물리학 Ⅰ,63,3993,6.88
3,물리학 Ⅰ,59,7992,13.77
4,물리학 Ⅰ,54,10875,18.73
5,물리학 Ⅰ,47,9988,17.21
6,물리학 Ⅰ,40,10811,18.62
7,물리학 Ⅰ,37,5873,10.12
8,물리학 Ⅰ,34,4396,7.57
