등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,130,20630,4.92
2,국어,124,31106,7.42
3,국어,117,48828,11.65
4,국어,108,70884,16.91
5,국어,96,85607,20.42
6,국어,83,69140,16.49
7,국어,70,50912,12.14
8,국어,65,25854,6.17
9,국어,65미만,16291,3.89
1,수학,130,23063,5.55
2,수학,124,36580,8.8
3,수학,119,40810,9.81
4,수학,109,68699,16.52
5,수학,93,83983,20.2
6,수학,78,72127,17.35
7,수학,73,49437,11.89
8,수학,72,24749,5.95
9,수학,72미만,16382,3.94
1,영어,90,80392,19.1
2,영어,80,69183,16.43
3,영어,70,76174,18.09
4,영어,60,63950,15.19
5,영어,50,40909,9.72
6,영어,40,28337,6.73
7,영어,30,21914,5.21
8,영어,20,29145,6.92
9,영어,20미만,10970,2.61
1,한국사,40,89289,21.18
2,한국사,35,56509,13.4
3,한국사,30,63998,15.18
4,한국사,25,63337,15.02
5,한국사,20,48887,11.59
6,한국사,15,34198,8.11
7,한국사,10,27139,6.44
8,한국사,5,22236,5.27
9,한국사,5미만,16030,3.8
1,생활과 윤리,70,7366,4.48
2,생활과 윤리,64,10781,6.56
3,생활과 윤리,57,22942,13.96
4,생활과 윤리,52,24951,15.18
5,생활과 윤리,47,34644,21.08
6,생활과 윤리,42,25864,15.74
7,생활과 윤리,37,27181,16.54
8,생활과 윤리,35,4157,2.53
9,생활과 윤리,35미만,6444,3.92
1,윤리와 사상,68,2204,5.26
2,윤리와 사상,64,3268,7.8
3,윤리와 사상,59,4793,11.44
4,윤리와 사상,53,6833,16.31
5,윤리와 사상,45,9013,21.52
6,윤리와 사상,41,7180,17.14
7,윤리와 사상,37,7349,17.55
8,윤리와 사상,-,-,-
9,윤리와 사상,37미만,1244,2.97
1,한국지리,71,1677,4.28
2,한국지리,65,2728,6.96
3,한국지리,58,4781,12.2
4,한국지리,51,6703,17.11
5,한국지리,45,8932,22.8
6,한국지리,42,5406,13.8
7,한국지리,40,5702,14.55
8,한국지리,37,2288,5.84
9,한국지리,37미만,967,2.47
1,세계지리,70,1724,4.5
2,세계지리,65,2661,6.95
3,세계지리,58,4709,12.3
4,세계지리,51,6768,17.68
5,세계지리,46,7856,20.52
6,세계지리,42,6868,17.94
7,세계지리,38,4169,10.89
8,세계지리,36,2980,7.78
9,세계지리,36미만,545,1.42
1,동아시아사,72,729,4.09
2,동아시아사,65,1405,7.89
3,동아시아사,57,2000,11.23
4,동아시아사,50,3557,19.97
5,동아시아사,46,3220,18.08
6,동아시아사,41,3355,18.83
7,동아시아사,40,1782,10
8,동아시아사,38,1084,6.09
9,동아시아사,38미만,682,3.83
1,세계사,72,828,4.6
2,세계사,66,1208,6.72
3,세계사,56,2551,14.18
4,세계사,49,3248,18.06
5,세계사,45,3202,17.8
6,세계사,42,3582,19.91
7,세계사,40,2227,12.38
8,세계사,39,566,3.15
9,세계사,39미만,577,3.21
1,경제,70,485,6.42
2,경제,66,390,5.16
3,경제,58,905,11.97
4,경제,50,1390,18.39
5,경제,44,1745,23.09
6,경제,42,1277,16.9
7,경제,40,604,7.99
8,경제,37,649,8.59
9,경제,37미만,113,1.5
1,정치와 법,70,1380,4.56
2,정치와 법,65,2285,7.56
3,정치와 법,58,4022,13.3
4,정치와 법,51,4640,15.35
5,정치와 법,45,6348,21
6,정치와 법,42,5339,17.66
7,정치와 법,38,4572,15.12
8,정치와 법,37,476,1.57
9,정치와 법,37미만,1170,3.87
1,사회·문화,66,10512,5.4
2,사회·문화,63,16732,8.59
3,사회·문화,60,18943,9.72
4,사회·문화,54,34086,17.5
5,사회·문화,46,38981,20.01
6,사회·문화,41,31293,16.06
7,사회·문화,36,32564,16.72
8,사회·문화,35,6131,3.15
9,사회·문화,35미만,5548,2.85
1,물리학 Ⅰ,64,2761,7.08
2,물리학 Ⅰ,62,1758,4.51
3,물리학 Ⅰ,59,5370,13.77
4,물리학 Ⅰ,55,6322,16.21
5,물리학 Ⅰ,47,8065,20.68
6,물리학 Ⅰ,40,6160,15.8
7,물리학 Ⅰ,36,5271,13.52
8,물리학 Ⅰ,33,2577,6.61
