등급,과목,구분 점수,인원(명),비율(퍼센트)
9,물리학 Ⅰ,33미만,709,1.82
1,화학 Ⅰ,69,1185,5.6
2,화학 Ⅰ,64,1447,6.84
3,화학 Ⅰ,59,2239,10.59
4,화학 Ⅰ,51,3871,18.31
5,화학 Ⅰ,45,4114,19.46
6,화학 Ⅰ,42,3804,17.99
7,화학 Ⅰ,39,2734,12.93
8,화학 Ⅰ,37,988,4.67
9,화학 Ⅰ,37미만,763,3.61
1,생명과학 Ⅰ,64,5311,5.77
2,생명과학 Ⅰ,61,8063,8.75
3,생명과학 Ⅰ,58,10634,11.54
4,생명과학 Ⅰ,54,14433,15.67
5,생명과학 Ⅰ,48,17688,19.2
6,생명과학 Ⅰ,41,15942,17.31
7,생명과학 Ⅰ,35,11522,12.51
8,생명과학 Ⅰ,31,5666,6.15
9,생명과학 Ⅰ,31미만,2862,3.11
1,지구과학 Ⅰ,69,4274,4.59
2,지구과학 Ⅰ,64,6050,6.49
3,지구과학 Ⅰ,58,12345,13.25
4,지구과학 Ⅰ,53,14825,15.91
5,지구과학 Ⅰ,46,19981,21.44
6,지구과학 Ⅰ,42,15409,16.53
7,지구과학 Ⅰ,38,10290,11.04
8,지구과학 Ⅰ,35,6301,6.76
9,지구과학 Ⅰ,35미만,3716,3.99
1,물리학 Ⅱ,70,295,4.85
2,물리학 Ⅱ,66,457,7.51
3,물리학 Ⅱ,60,678,11.14
4,물리학 Ⅱ,50,1043,17.14
5,물리학 Ⅱ,44,1423,23.38
6,물리학 Ⅱ,42,1042,17.12
7,물리학 Ⅱ,40,589,9.68
8,물리학 Ⅱ,39,320,5.26
9,물리학 Ⅱ,39미만,239,3.93
1,화학 Ⅱ,71,293,4.84
2,화학 Ⅱ,65,443,7.32
3,화학 Ⅱ,58,690,11.4
4,화학 Ⅱ,49,1118,18.47
5,화학 Ⅱ,45,1127,18.62
6,화학 Ⅱ,42,1520,25.11
7,화학 Ⅱ,41,239,3.95
8,화학 Ⅱ,38,443,7.32
9,화학 Ⅱ,38미만,181,2.99
1,생명과학 Ⅱ,72,447,4.63
2,생명과학 Ⅱ,68,709,7.34
3,생명과학 Ⅱ,56,1110,11.49
4,생명과학 Ⅱ,48,2240,23.2
5,생명과학 Ⅱ,45,1997,20.68
6,생명과학 Ⅱ,42,1136,11.76
7,생명과학 Ⅱ,41,1044,10.81
8,생명과학 Ⅱ,38,820,8.49
9,생명과학 Ⅱ,38미만,154,1.59
1,지구과학 Ⅱ,72,281,4.81
2,지구과학 Ⅱ,66,390,6.67
3,지구과학 Ⅱ,56,681,11.65
4,지구과학 Ⅱ,49,1130,19.34
5,지구과학 Ⅱ,45,1093,18.7
6,지구과학 Ⅱ,42,1241,21.24
7,지구과학 Ⅱ,41,424,7.26
8,지구과학 Ⅱ,38,457,7.82
9,지구과학 Ⅱ,38미만,147,2.52
1,성공적인 직업생활,71,200,4.33
2,성공적인 직업생활,64,313,6.77
3,성공적인 직업생활,57,608,13.15
4,성공적인 직업생활,51,803,17.37
5,성공적인 직업생활,46,995,21.52
6,성공적인 직업생활,41,664,14.36
7,성공적인 직업생활,39,676,14.62
8,성공적인 직업생활,37,222,4.8
9,성공적인 직업생활,37미만,142,3.07
1,농업 기초 기술,74,26,4.12
2,농업 기초 기술,65,45,7.13
3,농업 기초 기술,55,83,13.15
4,농업 기초 기술,48,117,18.54
5,농업 기초 기술,46,163,25.83
6,농업 기초 기술,43,63,9.98
7,농업 기초 기술,40,77,12.2
8,농업 기초 기술,39,32,5.07
9,농업 기초 기술,39미만,25,3.96
1,공업 일반,69,52,4.72
2,공업 일반,65,75,6.81
3,공업 일반,59,127,11.52
4,공업 일반,51,200,18.15
5,공업 일반,44,277,25.14
6,공업 일반,41,205,18.6
7,공업 일반,40,72,6.53
8,공업 일반,37,63,5.72
9,공업 일반,37미만,31,2.81
1,상업 경제,76,67,4.16
2,상업 경제,62,124,7.71
3,상업 경제,55,213,13.24
4,상업 경제,50,256,15.91
5,상업 경제,46,346,21.5
6,상업 경제,42,369,22.93
7,상업 경제,41,70,4.35
8,상업 경제,39,107,6.65
9,상업 경제,39미만,57,3.54
1,수산·해운 산업 기초,69,6,7.32
2,수산·해운 산업 기초,62,5,6.1
3,수산·해운 산업 기초,55,10,12.2
4,수산·해운 산업 기초,50,16,19.51
5,수산·해운 산업 기초,44,22,26.83
6,수산·해운 산업 기초,43,13,15.85
7,수산·해운 산업 기초,41,2,2.44
8,수산·해운 산업 기초,39,5,6.1
9,수산·해운 산업 기초,39미만,3,3.66
1,인간 발달,71,53,4.05
2,인간 발달,63,106,8.1
3,인간 발달,57,157,12
4,인간 발달,52,229,17.51
5,인간 발달,46,250,19.11
6,인간 발달,41,233,17.81
7,인간 발달,40,152,11.62
8,인간 발달,36,98,7.49
9,인간 발달,36미만,30,2.29
1,독일어 Ⅰ,45,105,19.09
2,독일어 Ⅰ,40,120,21.82
3,독일어 Ⅰ,35,106,19.27
4,독일어 Ⅰ,30,75,13.64
5,독일어 Ⅰ,25,40,7.27
6,독일어 Ⅰ,20,27,4.91
7,독일어 Ⅰ,15,36,6.55
8,독일어 Ⅰ,10,20,3.64
9,독일어 Ⅰ,10미만,21,3.82
1,프랑스어 Ⅰ,45,95,13.49
2,프랑스어 Ⅰ,40,140,19.89
3,프랑스어 Ⅰ,35,125,17.76
4,프랑스어 Ⅰ,30,86,12.22
5,프랑스어 Ⅰ,25,62,8.81
6,프랑스어 Ⅰ,20,60,8.52
7,프랑스어 Ⅰ,15,71,10.09
8,프랑스어 Ⅰ,10,43,6.11
9,프랑스어 Ⅰ,10미만,22,3.13
1,스페인어 Ⅰ,45,92,12.15
2,스페인어 Ⅰ,40,146,19.29
3,스페인어 Ⅰ,35,97,12.81
4,스페인어 Ⅰ,30,92,12.15
5,스페인어 Ⅰ,25,71,9.38
6,스페인어 Ⅰ,20,58,7.66
7,스페인어 Ⅰ,15,70,9.25
8,스페인어 Ⅰ,10,98,12.95
9,스페인어 Ⅰ,10미만,33,4.36
1,중국어 Ⅰ,45,280,18.24
2,중국어 Ⅰ,40,250,16.29
3,중국어 Ⅰ,35,182,11.86
4,중국어 Ⅰ,30,178,11.6
5,중국어 Ⅰ,25,121,7.88
6,중국어 Ⅰ,20,149,9.71
7,중국어 Ⅰ,15,174,11.34
8,중국어 Ⅰ,10,159,10.36
9,중국어 Ⅰ,10미만,42,2.74
1,일본어 Ⅰ,45,302,17.49
2,일본어 Ⅰ,40,387,22.41
3,일본어 Ⅰ,35,226,13.09
4,일본어 Ⅰ,30,149,8.63
5,일본어 Ⅰ,25,122,7.06
6,일본어 Ⅰ,20,164,9.5
7,일본어 Ⅰ,15,176,10.19
8,일본어 Ⅰ,10,155,8.98
9,일본어 Ⅰ,10미만,46,2.66
1,러시아어 Ⅰ,45,12,6.63
2,러시아어 Ⅰ,40,25,13.81
3,러시아어 Ⅰ,35,28,15.47
4,러시아어 Ⅰ,30,24,13.26
5,러시아어 Ⅰ,25,22,12.15
6,러시아어 Ⅰ,20,13,7.18
7,러시아어 Ⅰ,15,14,7.73
8,러시아어 Ⅰ,10,28,15.47
9,러시아어 Ⅰ,10미만,15,8.29
1,아랍어 Ⅰ,45,21,9.77
2,아랍어 Ⅰ,40,2,0.93
3,아랍어 Ⅰ,35,5,2.33
4,아랍어 Ⅰ,30,9,4.19
5,아랍어 Ⅰ,25,8,3.72
6,아랍어 Ⅰ,20,39,18.14
7,아랍어 Ⅰ,15,55,25.58
8,아랍어 Ⅰ,10,54,25.12
9,아랍어 Ⅰ,10미만,22,10.23
1,베트남어 Ⅰ,45,19,28.36
2,베트남어 Ⅰ,40,10,14.93
3,베트남어 Ⅰ,35,10,14.93
4,베트남어 Ⅰ,30,2,2.99
5,베트남어 Ⅰ,25,1,1.49
6,베트남어 Ⅰ,20,3,4.48
7,베트남어 Ⅰ,15,9,13.43
8,베트남어 Ⅰ,10,8,11.94
9,베트남어 Ⅰ,10미만,5,7.46
1,한문 Ⅰ,45,33,3.96
2,한문 Ⅰ,40,65,7.79
3,한문 Ⅰ,35,91,10.91
4,한문 Ⅰ,30,127,15.23
5,한문 Ⅰ,25,154,18.47
6,한문 Ⅰ,20,153,18.35
7,한문 Ⅰ,15,124,14.87
8,한문 Ⅰ,10,67,8.03
9,한문 Ⅰ,10미만,20,2.4
