등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,130,19211,4.24
2,국어,124,38935,8.6
3,국어,117,51677,11.41
4,국어,108,82665,18.25
5,국어,96,83714,18.48
6,국어,82,76395,16.86
7,국어,70,57633,12.72
8,국어,66,27329,6.03
9,국어,66미만,15427,3.41
1,수학 가형,128,7042,4.86
2,수학 가형,122,16248,11.22
3,수학 가형,117,11408,7.88
4,수학 가형,109,24926,17.21
5,수학 가형,98,27944,19.3
6,수학 가형,84,23971,16.55
7,수학 가형,68,19831,13.69
8,수학 가형,63,8655,5.98
9,수학 가형,63미만,4787,3.31
1,수학 나형,133,17598,5.81
2,수학 나형,127,22663,7.48
3,수학 나형,119,33451,11.03
4,수학 나형,106,51369,16.95
5,수학 나형,91,57420,18.94
6,수학 나형,80,51229,16.9
7,수학 나형,75,53606,17.68
8,수학 나형,73,8075,2.66
9,수학 나형,73미만,7728,2.55
1,영어,90,26739,5.88
2,영어,80,65725,14.45
3,영어,70,98858,21.74
4,영어,60,91022,20.02
5,영어,50,54682,12.02
6,영어,40,34843,7.66
7,영어,30,25708,5.65
8,영어,20,32136,7.07
9,영어,20미만,25039,5.51
1,한국사,40,130867,28.7
2,한국사,35,70597,15.48
3,한국사,30,64330,14.11
4,한국사,25,52360,11.48
5,한국사,20,39856,8.74
6,한국사,15,32277,7.08
7,한국사,10,48057,10.54
8,한국사,5,14222,3.12
9,한국사,5미만,3383,0.74
1,생활과 윤리,66,7335,5.36
2,생활과 윤리,64,9853,7.2
3,생활과 윤리,59,17895,13.08
4,생활과 윤리,53,21799,15.93
5,생활과 윤리,46,28065,20.51
6,생활과 윤리,40,29750,21.74
7,생활과 윤리,37,12998,9.5
8,생활과 윤리,35,3672,2.68
9,생활과 윤리,35미만,5447,3.98
1,윤리와 사상,67,2034,6.5
2,윤리와 사상,65,1923,6.14
3,윤리와 사상,61,3508,11.2
4,윤리와 사상,52,5412,17.28
5,윤리와 사상,44,5993,19.14
6,윤리와 사상,41,5536,17.68
7,윤리와 사상,40,4153,13.26
8,윤리와 사상,38,1704,5.44
9,윤리와 사상,38미만,1052,3.36
1,한국 지리,67,3232,5.3
