등급,과목,구분 점수,인원(명),비율(퍼센트)
1,지구과학 Ⅰ,65,11098 ,7.08
2,지구과학 Ⅰ,63,9512 ,6.07
3,지구과학 Ⅰ,58,24228 ,15.46
4,지구과학 Ⅰ,54,21634 ,13.81
5,지구과학 Ⅰ,47,29779 ,19.01
6,지구과학 Ⅰ,40,31963 ,20.4
7,지구과학 Ⅰ,36,14248 ,9.09
8,지구과학 Ⅰ,33,10006 ,6.39
9,지구과학 Ⅰ,33미만,4213 ,2.69
1,물리학 Ⅱ,71,159 ,4.18
2,물리학 Ⅱ,65,331 ,8.7
3,물리학 Ⅱ,58,402 ,10.57
4,물리학 Ⅱ,50,696 ,18.3
5,물리학 Ⅱ,45,810 ,21.3
6,물리학 Ⅱ,42,691 ,18.17
7,물리학 Ⅱ,40,311 ,8.18
8,물리학 Ⅱ,37,277 ,7.28
9,물리학 Ⅱ,37미만,126 ,3.31
1,화학 Ⅱ,70,146 ,4.04
2,화학 Ⅱ,64,257 ,7.11
3,화학 Ⅱ,58,468 ,12.94
4,화학 Ⅱ,51,684 ,18.92
5,화학 Ⅱ,46,668 ,18.47
6,화학 Ⅱ,42,598 ,16.54
7,화학 Ⅱ,38,556 ,15.38
8,화학 Ⅱ,36,138 ,3.82
9,화학 Ⅱ,36미만,101 ,2.79
1,생명과학 Ⅱ,69,234 ,4.19
2,생명과학 Ⅱ,65,422 ,7.56
3,생명과학 Ⅱ,59,701 ,12.56
4,생명과학 Ⅱ,52,878 ,15.73
5,생명과학 Ⅱ,45,1361 ,24.38
6,생명과학 Ⅱ,42,704 ,12.61
7,생명과학 Ⅱ,38,974 ,17.45
8,생명과학 Ⅱ,37,88 ,1.58
9,생명과학 Ⅱ,37미만,221 ,3.96
1,지구과학 Ⅱ,70,178 ,4.33
2,지구과학 Ⅱ,66,295 ,7.18
3,지구과학 Ⅱ,58,480 ,11.68
4,지구과학 Ⅱ,50,796 ,19.37
5,지구과학 Ⅱ,45,782 ,19.03
6,지구과학 Ⅱ,42,696 ,16.93
7,지구과학 Ⅱ,39,459 ,11.17
8,지구과학 Ⅱ,37,285 ,6.93
9,지구과학 Ⅱ,37미만,139 ,3.38
1,성공적인 직업생활,66,337 ,9.02
2,성공적인 직업생활,64,135 ,3.61
3,성공적인 직업생활,59,438 ,11.72
4,성공적인 직업생활,53,607 ,16.24
5,성공적인 직업생활,46,764 ,20.44
6,성공적인 직업생활,41,733 ,19.61
7,성공적인 직업생활,37,449 ,12.01
8,성공적인 직업생활,34,154 ,4.12
9,성공적인 직업생활,34미만,120 ,3.21
1,농업 기초 기술,70,11 ,4.66
2,농업 기초 기술,63,17 ,7.2
3,농업 기초 기술,57,33 ,13.98
4,농업 기초 기술,53,35 ,14.83
5,농업 기초 기술,46,52 ,22.03
6,농업 기초 기술,42,38 ,16.1
7,농업 기초 기술,38,27 ,11.44
8,농업 기초 기술,33,16 ,6.78
9,농업 기초 기술,33미만,7 ,2.97
1,공업 일반,64,114 ,8.52
2,공업 일반,62,139 ,10.39
3,공업 일반,59,137 ,10.24
4,공업 일반,55,173 ,12.93
5,공업 일반,46,252 ,18.83
6,공업 일반,40,274 ,20.48
7,공업 일반,37,121 ,9.04
8,공업 일반,33,80 ,5.98
9,공업 일반,33미만,48 ,3.59
1,상업 경제,68,53 ,4.34
2,상업 경제,65,100 ,8.18
3,상업 경제,59,152 ,12.44
4,상업 경제,51,213 ,17.43
5,상업 경제,46,222 ,18.17
6,상업 경제,42,210 ,17.18
7,상업 경제,38,166 ,13.58
8,상업 경제,35,68 ,5.56
9,상업 경제,35미만,38 ,3.11
1,수산·해운 산업 기초,65,3 ,15
2,수산·해운 산업 기초,-,-,-
3,수산·해운 산업 기초,58,2 ,10
4,수산·해운 산업 기초,53,4 ,20
5,수산·해운 산업 기초,47,4 ,20
6,수산·해운 산업 기초,40,5 ,25
7,수산·해운 산업 기초,-,-,-
8,수산·해운 산업 기초,40미만,2 ,10
9,수산·해운 산업 기초,-,-,-
1,인간발달,66,43 ,4.1
2,인간발달,64,103 ,9.81
3,인간발달,60,126 ,12
4,인간발달,52,158 ,15.05
5,인간발달,46,250 ,23.81
6,인간발달,42,146 ,13.9
7,인간발달,37,118 ,11.24
8,인간발달,32,76 ,7.24
9,인간발달,32미만,30 ,2.86
1,독일어 Ⅰ,45,43 ,2.77
2,독일어 Ⅰ,40,130 ,8.36
3,독일어 Ⅰ,35,129 ,8.3
4,독일어 Ⅰ,30,113 ,7.27
5,독일어 Ⅰ,25,102 ,6.56
6,독일어 Ⅰ,20,131 ,8.42
7,독일어 Ⅰ,15,217 ,13.95
8,독일어 Ⅰ,10,449 ,28.87
9,독일어 Ⅰ,10미만,241 ,15.5
1,프랑스어 Ⅰ,45,56 ,2.64
2,프랑스어 Ⅰ,40,91 ,4.29
3,프랑스어 Ⅰ,35,170 ,8.02
4,프랑스어 Ⅰ,30,171 ,8.07
5,프랑스어 Ⅰ,25,211 ,9.95
6,프랑스어 Ⅰ,20,324 ,15.28
7,프랑스어 Ⅰ,15,488 ,23.02
8,프랑스어 Ⅰ,10,432 ,20.38
9,프랑스어 Ⅰ,10미만,177 ,8.35
1,스페인어 Ⅰ,45,188 ,6.13
2,스페인어 Ⅰ,40,201 ,6.55
3,스페인어 Ⅰ,35,182 ,5.93
4,스페인어 Ⅰ,30,168 ,5.47
5,스페인어 Ⅰ,25,199 ,6.48
6,스페인어 Ⅰ,20,359 ,11.7
7,스페인어 Ⅰ,15,581 ,18.93
8,스페인어 Ⅰ,10,722 ,23.53
9,스페인어 Ⅰ,10미만,469 ,15.28
1,중국어 Ⅰ,45,987 ,14.66
2,중국어 Ⅰ,40,738 ,10.96
3,중국어 Ⅰ,35,458 ,6.8
4,중국어 Ⅰ,30,430 ,6.39
5,중국어 Ⅰ,25,400 ,5.94
6,중국어 Ⅰ,20,721 ,10.71
7,중국어 Ⅰ,15,1357 ,20.15
8,중국어 Ⅰ,10,1360 ,20.2
9,중국어 Ⅰ,10미만,282 ,4.19
1,일본어 Ⅰ,45,806 ,7.38
2,일본어 Ⅰ,40,834 ,7.63
3,일본어 Ⅰ,35,582 ,5.33
4,일본어 Ⅰ,30,584 ,5.35
5,일본어 Ⅰ,25,661 ,6.05
6,일본어 Ⅰ,20,862 ,7.89
7,일본어 Ⅰ,15,1638 ,14.99
8,일본어 Ⅰ,10,3075 ,28.15
9,일본어 Ⅰ,10미만,1883 ,17.24
1,러시아어 Ⅰ,45,25 ,5.43
2,러시아어 Ⅰ,40,31 ,6.74
3,러시아어 Ⅰ,35,49 ,10.65
4,러시아어 Ⅰ,30,39 ,8.48
5,러시아어 Ⅰ,25,37 ,8.04
6,러시아어 Ⅰ,20,31 ,6.74
7,러시아어 Ⅰ,15,46 ,10
8,러시아어 Ⅰ,10,92 ,20
9,러시아어 Ⅰ,10미만,110 ,23.91
1,아랍어 Ⅰ,45,63 ,1.65
2,아랍어 Ⅰ,40,26 ,0.68
3,아랍어 Ⅰ,35,21 ,0.55
4,아랍어 Ⅰ,30,44 ,1.15
5,아랍어 Ⅰ,25,210 ,5.49
6,아랍어 Ⅰ,20,759 ,19.85
7,아랍어 Ⅰ,15,1334 ,34.89
8,아랍어 Ⅰ,10,1080 ,28.25
9,아랍어 Ⅰ,10미만,286 ,7.48
1,베트남어 Ⅰ,45,21 ,5.65
2,베트남어 Ⅰ,40,9 ,2.42
3,베트남어 Ⅰ,35,12 ,3.23
4,베트남어 Ⅰ,30,12 ,3.23
5,베트남어 Ⅰ,25,24 ,6.45
6,베트남어 Ⅰ,20,34 ,9.14
7,베트남어 Ⅰ,15,80 ,21.51
8,베트남어 Ⅰ,10,136 ,36.56
9,베트남어 Ⅰ,10미만,44 ,11.83
1,한문 Ⅰ,45,390 ,3.91
2,한문 Ⅰ,40,633 ,6.34
3,한문 Ⅰ,35,942 ,9.44
4,한문 Ⅰ,30,1478 ,14.81
5,한문 Ⅰ,25,1955 ,19.58
6,한문 Ⅰ,20,2024 ,20.27
7,한문 Ⅰ,15,1426 ,14.28
8,한문 Ⅰ,10,897 ,8.99
9,한문 Ⅰ,10미만,238 ,2.38
