등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,132,17389,4.41
2,국어,126,27134,6.89
3,국어,117,50295,12.76
4,국어,107,64371,16.34
5,국어,95,81644,20.72
6,국어,83,62939,15.97
7,국어,72,47764,12.12
8,국어,68,27288,6.93
9,국어,68미만,15200,3.86
1,수학 가형,132,7530,5.01
2,수학 가형,125,11409,7.59
3,수학 가형,118,16328,10.86
4,수학 가형,108,26427,17.58
5,수학 가형,95,29976,19.94
6,수학 가형,83,25228,16.78
7,수학 가형,72,17837,11.86
8,수학 가형,65,11246,7.48
9,수학 가형,65미만,4371,2.91
1,수학 나형,135,10859,4.54
2,수학 나형,129,17476,7.3
3,수학 나형,119,27119,11.33
4,수학 나형,104,41859,17.49
5,수학 나형,88,48998,20.47
6,수학 나형,81,44831,18.73
7,수학 나형,77,32104,13.41
8,수학 나형,75,7906,3.3
9,수학 나형,75미만,8175,3.42
1,영어,90,34472,8.73
2,영어,80,47894,12.12
3,영어,70,65788,16.65
4,영어,60,63324,16.03
5,영어,50,49490,12.53
6,영어,40,41816,10.59
7,영어,30,36163,9.15
8,영어,20,35994,9.11
9,영어,20미만,20087,5.08
1,한국사,40,168732,42.66
2,한국사,35,62253,15.74
3,한국사,30,48897,12.36
4,한국사,25,35721,9.03
5,한국사,20,24800,6.27
6,한국사,15,20456,5.17
7,한국사,10,24628,6.23
8,한국사,5,7882,1.99
9,한국사,5미만,2117,0.54
1,생활과 윤리,65,9273,7.8
2,생활과 윤리,63,7096,5.97
3,생활과 윤리,59,12649,10.64
4,생활과 윤리,54,19301,16.24
5,생활과 윤리,48,23012,19.36
6,생활과 윤리,40,24078,20.26
7,생활과 윤리,36,16143,13.58
8,생활과 윤리,34,2969,2.5
9,생활과 윤리,34미만,4341,3.65
1,윤리와 사상,67,1430,5.32
2,윤리와 사상,65,1560,5.8
3,윤리와 사상,60,3533,13.14
4,윤리와 사상,53,4490,16.7
5,윤리와 사상,45,5526,20.55
6,윤리와 사상,40,5186,19.28
7,윤리와 사상,37,4372,16.26
8,윤리와 사상,-,-,-
9,윤리와 사상,37미만,795,2.96
1,한국지리,68,2771,6.15
2,한국지리,64,3136,6.96
3,한국지리,58,5204,11.55
4,한국지리,51,9193,20.4
5,한국지리,46,7877,17.48
6,한국지리,42,7723,17.14
7,한국지리,38,4390,9.74
8,한국지리,35,2976,6.6
9,한국지리,35미만,1789,3.97
1,세계지리,67,2208,6.29
2,세계지리,64,2081,5.93
3,세계지리,59,3959,11.27
4,세계지리,53,6182,17.6
5,세계지리,46,6970,19.85
6,세계지리,41,6175,17.58
7,세계지리,37,5230,14.89
8,세계지리,35,940,2.68
9,세계지리,35미만,1371,3.9
1,동아시아사,68,1427,5.8
