등급,과목,구분 점수,인원(명),비율(퍼센트)
2,물리학 Ⅰ,64,3108,6.17
3,물리학 Ⅰ,59,5743,11.4
4,물리학 Ⅰ,53,8257,16.38
5,물리학 Ⅰ,46,11098,22.02
6,물리학 Ⅰ,41,7782,15.44
7,물리학 Ⅰ,37,7072,14.03
8,물리학 Ⅰ,35,2277,4.52
9,물리학 Ⅰ,35미만,1681,3.34
1,화학 Ⅰ,68,2004,5.07
2,화학 Ⅰ,65,2506,6.34
3,화학 Ⅰ,59,4777,12.09
4,화학 Ⅰ,52,7674,19.42
5,화학 Ⅰ,46,7106,17.98
6,화학 Ⅰ,41,6716,16.99
7,화학 Ⅰ,38,4846,12.26
8,화학 Ⅰ,35,3146,7.96
9,화학 Ⅰ,35미만,751,1.9
1,생명과학 Ⅰ,66,5202,4.61
2,생명과학 Ⅰ,62,10169,9.02
3,생명과학 Ⅰ,58,15079,13.37
4,생명과학 Ⅰ,53,17648,15.65
5,생명과학 Ⅰ,48,21449,19.02
6,생명과학 Ⅰ,42,19411,17.21
7,생명과학 Ⅰ,36,12466,11.05
8,생명과학 Ⅰ,32,7371,6.53
9,생명과학 Ⅰ,32미만,4005,3.55
1,지구과학 Ⅰ,69,4959,4.16
2,지구과학 Ⅰ,64,9006,7.56
3,지구과학 Ⅰ,58,15308,12.84
4,지구과학 Ⅰ,52,18430,15.46
5,지구과학 Ⅰ,46,26584,22.3
6,지구과학 Ⅰ,41,20933,17.56
7,지구과학 Ⅰ,38,12565,10.54
8,지구과학 Ⅰ,35,8012,6.72
9,지구과학 Ⅰ,35미만,3401,2.85
1,물리학 Ⅱ,70,299,5.2
2,물리학 Ⅱ,67,413,7.19
3,물리학 Ⅱ,59,657,11.43
4,물리학 Ⅱ,49,1033,17.98
5,물리학 Ⅱ,44,1276,22.21
6,물리학 Ⅱ,42,924,16.08
7,물리학 Ⅱ,40,763,13.28
8,물리학 Ⅱ,38,194,3.38
9,물리학 Ⅱ,38미만,187,3.25
1,화학 Ⅱ,73,227,4.1
2,화학 Ⅱ,65,424,7.65
3,화학 Ⅱ,56,681,12.29
4,화학 Ⅱ,49,936,16.89
5,화학 Ⅱ,46,1080,19.49
6,화학 Ⅱ,42,1070,19.31
7,화학 Ⅱ,41,560,10.11
8,화학 Ⅱ,38,383,6.91
9,화학 Ⅱ,38미만,180,3.25
1,생명과학 Ⅱ,73,457,5.16
2,생명과학 Ⅱ,67,552,6.23
3,생명과학 Ⅱ,54,1293,14.6
4,생명과학 Ⅱ,49,1525,17.22
5,생명과학 Ⅱ,45,1599,18.06
6,생명과학 Ⅱ,43,1672,18.88
7,생명과학 Ⅱ,41,825,9.32
8,생명과학 Ⅱ,38,679,7.67
9,생명과학 Ⅱ,38미만,252,2.85
1,지구과학 Ⅱ,74,336,5.63
2,지구과학 Ⅱ,69,325,5.45
3,지구과학 Ⅱ,54,771,12.93
4,지구과학 Ⅱ,48,1173,19.66
5,지구과학 Ⅱ,45,1078,18.07
6,지구과학 Ⅱ,43,1380,23.13
7,지구과학 Ⅱ,41,404,6.77
8,지구과학 Ⅱ,40,302,5.06
9,지구과학 Ⅱ,40미만,196,3.29
1,성공적인 직업생활,70,237,4.78
2,성공적인 직업생활,64,320,6.46
3,성공적인 직업생활,57,760,15.34
4,성공적인 직업생활,51,790,15.95
5,성공적인 직업생활,46,870,17.56
6,성공적인 직업생활,42,862,17.4
7,성공적인 직업생활,38,579,11.69
8,성공적인 직업생활,37,439,8.86
9,성공적인 직업생활,37미만,97,1.96
1,농업 기초 기술,72,22,4.17
2,농업 기초 기술,65,37,7.02
3,농업 기초 기술,54,69,13.09
4,농업 기초 기술,49,86,16.32
5,농업 기초 기술,47,110,20.87
6,농업 기초 기술,45,97,18.41
7,농업 기초 기술,41,55,10.44
8,농업 기초 기술,37,38,7.21
9,농업 기초 기술,37미만,13,2.47
1,공업 일반,70,72,5.76
2,공업 일반,65,83,6.64
3,공업 일반,58,152,12.16
4,공업 일반,50,209,16.72
5,공업 일반,44,237,18.96
6,공업 일반,42,251,20.08
7,공업 일반,39,181,14.48
8,공업 일반,38,19,1.52
9,공업 일반,38미만,46,3.68
1,상업 경제,74,76,4.38
2,상업 경제,63,131,7.55
3,상업 경제,54,224,12.91
4,상업 경제,49,284,16.37
5,상업 경제,46,368,21.21
6,상업 경제,44,273,15.73
7,상업 경제,40,210,12.1
8,상업 경제,37,125,7.2
9,상업 경제,37미만,44,2.54
1,수산·해운 산업 기초,72,6,5.22
2,수산·해운 산업 기초,64,9,7.83
3,수산·해운 산업 기초,56,13,11.3
4,수산·해운 산업 기초,50,19,16.52
5,수산·해운 산업 기초,45,24,20.87
6,수산·해운 산업 기초,42,31,26.96
7,수산·해운 산업 기초,40,4,3.48
8,수산·해운 산업 기초,39,5,4.35
9,수산·해운 산업 기초,39미만,4,3.48
1,인간 발달,74,60,4.03
2,인간 발달,60,123,8.27
3,인간 발달,54,226,15.19
4,인간 발달,50,221,14.85
5,인간 발달,48,268,18.01
6,인간 발달,43,326,21.91
7,인간 발달,40,115,7.73
8,인간 발달,37,112,7.53
9,인간 발달,37미만,37,2.49
1,독일어 Ⅰ,45,56,14.62
2,독일어 Ⅰ,40,80,20.89
3,독일어 Ⅰ,35,71,18.54
4,독일어 Ⅰ,30,44,11.49
5,독일어 Ⅰ,25,28,7.31
6,독일어 Ⅰ,20,28,7.31
7,독일어 Ⅰ,15,32,8.36
8,독일어 Ⅰ,10,30,7.83
9,독일어 Ⅰ,10미만,14,3.66
1,프랑스어 Ⅰ,45,55,9.09
2,프랑스어 Ⅰ,40,145,23.97
3,프랑스어 Ⅰ,35,131,21.65
4,프랑스어 Ⅰ,30,86,14.21
5,프랑스어 Ⅰ,25,57,9.42
6,프랑스어 Ⅰ,20,40,6.61
7,프랑스어 Ⅰ,15,38,6.28
8,프랑스어 Ⅰ,10,38,6.28
9,프랑스어 Ⅰ,10미만,15,2.48
1,스페인어 Ⅰ,45,113,14.93
2,스페인어 Ⅰ,40,129,17.04
3,스페인어 Ⅰ,35,106,14
4,스페인어 Ⅰ,30,88,11.62
5,스페인어 Ⅰ,25,69,9.11
6,스페인어 Ⅰ,20,74,9.78
7,스페인어 Ⅰ,15,79,10.44
8,스페인어 Ⅰ,10,74,9.78
9,스페인어 Ⅰ,10미만,25,3.3
1,중국어 Ⅰ,45,136,9.23
2,중국어 Ⅰ,40,228,15.48
3,중국어 Ⅰ,35,251,17.04
4,중국어 Ⅰ,30,187,12.7
5,중국어 Ⅰ,25,130,8.83
6,중국어 Ⅰ,20,135,9.16
7,중국어 Ⅰ,15,144,9.78
8,중국어 Ⅰ,10,184,12.49
9,중국어 Ⅰ,10미만,78,5.3
1,일본어 Ⅰ,45,154,10
2,일본어 Ⅰ,40,209,13.57
3,일본어 Ⅰ,35,218,14.16
4,일본어 Ⅰ,30,202,13.12
5,일본어 Ⅰ,25,146,9.48
6,일본어 Ⅰ,20,129,8.38
7,일본어 Ⅰ,15,178,11.56
8,일본어 Ⅰ,10,215,13.96
9,일본어 Ⅰ,10미만,89,5.78
1,러시아어 Ⅰ,45,13,7.74
2,러시아어 Ⅰ,40,37,22.02
3,러시아어 Ⅰ,35,34,20.24
4,러시아어 Ⅰ,30,21,12.5
5,러시아어 Ⅰ,25,9,5.36
6,러시아어 Ⅰ,20,5,2.98
7,러시아어 Ⅰ,15,9,5.36
8,러시아어 Ⅰ,10,28,16.67
9,러시아어 Ⅰ,10미만,12,7.14
1,아랍어 Ⅰ,45,23,11.92
2,아랍어 Ⅰ,40,6,3.11
3,아랍어 Ⅰ,35,5,2.59
4,아랍어 Ⅰ,30,6,3.11
5,아랍어 Ⅰ,25,5,2.59
6,아랍어 Ⅰ,20,32,16.58
7,아랍어 Ⅰ,15,59,30.57
8,아랍어 Ⅰ,10,40,20.73
9,아랍어 Ⅰ,10미만,17,8.81
1,베트남어 Ⅰ,45,5,10.64
2,베트남어 Ⅰ,40,1,2.13
3,베트남어 Ⅰ,35,0,0
4,베트남어 Ⅰ,30,1,2.13
5,베트남어 Ⅰ,25,1,2.13
6,베트남어 Ⅰ,20,3,6.38
7,베트남어 Ⅰ,15,11,23.4
8,베트남어 Ⅰ,10,16,34.04
9,베트남어 Ⅰ,10미만,9,19.15
1,한문 Ⅰ,45,112,12.73
2,한문 Ⅰ,40,148,16.82
3,한문 Ⅰ,35,137,15.57
4,한문 Ⅰ,30,169,19.2
5,한문 Ⅰ,25,154,17.5
6,한문 Ⅰ,20,89,10.11
7,한문 Ⅰ,15,38,4.32
8,한문 Ⅰ,10,17,1.93
9,한문 Ⅰ,10미만,16,1.82
