등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,132,17980,4.6
2,국어,125,27160,6.95
3,국어,117,45207,11.57
4,국어,107,69974,17.91
5,국어,95,79188,20.27
6,국어,83,64846,16.6
7,국어,72,44173,11.31
8,국어,66,28021,7.17
9,국어,66미만,14054,3.6
1,수학,135,17703,4.57
2,수학,126,25688,6.64
3,수학,116,51733,13.37
4,수학,107,60401,15.61
5,수학,92,79654,20.58
6,수학,81,68021,17.58
7,수학,75,42444,10.97
8,수학,71,27466,7.1
9,수학,71미만,13862,3.58
1,영어,90,5764,1.47
2,영어,80,31362,8
3,영어,70,75861,19.35
4,영어,60,96750,24.67
5,영어,50,66406,16.94
6,영어,40,41415,10.56
7,영어,30,29649,7.56
8,영어,20,33348,8.5
9,영어,20미만,11555,2.95
1,한국사,40,51290,13.06
2,한국사,35,45786,11.66
3,한국사,30,63621,16.2
4,한국사,25,72176,18.38
5,한국사,20,60057,15.29
6,한국사,15,51823,13.19
7,한국사,10,32577,8.29
8,한국사,5,11650,2.97
9,한국사,5미만,3803,0.97
1,생활과 윤리,67,5307,4.02
2,생활과 윤리,63,11479,8.7
3,생활과 윤리,58,16519,12.52
4,생활과 윤리,54,19616,14.87
5,생활과 윤리,47,29794,22.59
6,생활과 윤리,40,26334,19.96
7,생활과 윤리,37,11936,9.05
8,생활과 윤리,33,6671,5.06
9,생활과 윤리,33미만,4261,3.23
1,윤리와 사상,71,1642,4.75
2,윤리와 사상,65,2357,6.82
3,윤리와 사상,57,4573,13.24
4,윤리와 사상,51,5424,15.7
5,윤리와 사상,45,7538,21.82
6,윤리와 사상,42,6706,19.41
7,윤리와 사상,39,3176,9.19
8,윤리와 사상,36,2014,5.83
9,윤리와 사상,36미만,1118,3.24
1,한국지리,69,1570,4.92
2,한국지리,64,2167,6.79
3,한국지리,58,4332,13.58
4,한국지리,52,5269,16.52
5,한국지리,46,6743,21.14
6,한국지리,41,5329,16.7
7,한국지리,38,4315,13.53
8,한국지리,36,1082,3.39
9,한국지리,36미만,1096,3.44
1,세계지리,67,1559,5.83
2,세계지리,65,1516,5.67
3,세계지리,60,3249,12.16
4,세계지리,53,4440,16.62
5,세계지리,46,5292,19.81
6,세계지리,41,4957,18.55
7,세계지리,37,3354,12.55
8,세계지리,35,1708,6.39
9,세계지리,35미만,644,2.41
1,동아시아사,70,625,4.1
2,동아시아사,65,1242,8.14
3,동아시아사,58,1850,12.13
4,동아시아사,51,2557,16.77
5,동아시아사,45,3436,22.53
6,동아시아사,41,3026,19.84
7,동아시아사,39,1047,6.87
8,동아시아사,37,922,6.05
9,동아시아사,37미만,544,3.57
1,세계사,69,933,6.69
2,세계사,66,768,5.51
3,세계사,59,1593,11.43
4,세계사,50,2675,19.19
5,세계사,45,2408,17.27
6,세계사,42,2557,18.34
7,세계사,40,1652,11.85
8,세계사,37,1162,8.34
9,세계사,37미만,193,1.38
1,경제,70,348,5.24
2,경제,66,415,6.25
3,경제,58,843,12.7
4,경제,50,1161,17.49
5,경제,44,1237,18.64
6,경제,42,1214,18.29
7,경제,39,1108,16.69
8,경제,38,83,1.25
9,경제,38미만,229,3.45
1,정치와 법,67,1389,5.08
2,정치와 법,65,1668,6.1
3,정치와 법,59,3804,13.92
4,정치와 법,52,4863,17.79
5,정치와 법,46,4990,18.26
6,정치와 법,40,5985,21.9
7,정치와 법,37,3266,11.95
8,정치와 법,36,326,1.19
9,정치와 법,36미만,1038,3.8
1,사회·문화,65,8235,6.26
2,사회·문화,62,10366,7.88
3,사회·문화,59,12995,9.88
4,사회·문화,54,24545,18.66
5,사회·문화,47,26534,20.17
6,사회·문화,40,22433,17.06
7,사회·문화,36,13764,10.46
8,사회·문화,33,10463,7.96
9,사회·문화,33미만,2192,1.67
1,물리학 Ⅰ,66,3377,6.7
