등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,132,19317,4.16
2,국어,125,35944,7.74
3,국어,117,57602,12.41
4,국어,107,79354,17.09
5,국어,95,89562,19.29
6,국어,83,78422,16.89
7,국어,72,53787,11.59
8,국어,66,34034,7.33
9,국어,66미만,16243,3.5
1,수학 가형,130,7196,4.24
2,수학 가형,123,15380,9.06
3,수학 가형,116,21855,12.88
4,수학 가형,108,25007,14.74
5,수학 가형,98,33760,19.9
6,수학 가형,84,27880,16.43
7,수학 가형,70,20959,12.35
8,수학 가형,62,11163,6.58
9,수학 가형,62미만,6476,3.82
1,수학 나형,136,12195,4.22
2,수학 나형,129,20422,7.06
3,수학 나형,117,37513,12.97
4,수학 나형,105,49988,17.28
5,수학 나형,90,58506,20.22
6,수학 나형,81,45761,15.82
7,수학 나형,75,52697,18.22
8,수학 나형,74,3092,1.07
9,수학 나형,74미만,9130,3.16
1,영어,90,36136,7.76
2,영어,80,60554,13.01
3,영어,70,81432,17.5
4,영어,60,82798,17.79
5,영어,50,62386,13.41
6,영어,40,45045,9.68
7,영어,30,34727,7.46
8,영어,20,36765,7.9
9,영어,20미만,25535,5.49
1,한국사,40,111899,24.01
2,한국사,35,77334,16.59
3,한국사,30,70023,15.02
4,한국사,25,57954,12.43
5,한국사,20,45781,9.82
6,한국사,15,37810,8.11
7,한국사,10,44346,9.51
8,한국사,5,18106,3.88
9,한국사,5미만,2885,0.62
1,생활과 윤리,67,7346,5.3
2,생활과 윤리,64,10246,7.4
3,생활과 윤리,59,16190,11.69
4,생활과 윤리,53,23189,16.74
5,생활과 윤리,47,26298,18.98
6,생활과 윤리,41,24930,18
7,생활과 윤리,37,16342,11.8
8,생활과 윤리,35,9312,6.72
9,생활과 윤리,35미만,4672,3.37
1,윤리와 사상,69,1979,6.34
2,윤리와 사상,65,2235,7.16
3,윤리와 사상,58,3774,12.09
4,윤리와 사상,51,4953,15.87
5,윤리와 사상,45,5971,19.13
6,윤리와 사상,42,5528,17.71
7,윤리와 사상,40,3424,10.97
8,윤리와 사상,37,2462,7.89
9,윤리와 사상,37미만,892,2.86
1,한국 지리,66,3131,4.86
2,한국 지리,63,5851,9.08
3,한국 지리,59,7655,11.88
4,한국 지리,54,9657,14.99
5,한국 지리,47,14097,21.89
6,한국 지리,41,9846,15.29
7,한국 지리,36,7962,12.36
8,한국 지리,33,5043,7.83
9,한국 지리,33미만,1171,1.82
1,세계 지리,67,1665,4.17
2,세계 지리,64,3463,8.67
3,세계 지리,59,4387,10.98
4,세계 지리,53,6547,16.38
5,세계 지리,46,9191,23
6,세계 지리,40,7935,19.86
7,세계 지리,37,3198,8
8,세계 지리,34,3172,7.94
9,세계 지리,34미만,404,1.01
1,동아시아사,70,1220,4.44
2,동아시아사,64,2229,8.12
3,동아시아사,58,3016,10.98
4,동아시아사,51,5063,18.43
5,동아시아사,45,5484,19.97
6,동아시아사,41,4563,16.61
7,동아시아사,39,3910,14.24
8,동아시아사,37,913,3.32
9,동아시아사,37미만,1069,3.89
1,세계사,71,1079,5.58
2,세계사,66,1289,6.67
3,세계사,58,2111,10.92
4,세계사,49,3930,20.32
5,세계사,45,4308,22.28
6,세계사,42,2569,13.28
7,세계사,40,2494,12.9
8,세계사,37,1268,6.56
9,세계사,37미만,290,1.5
1,법과 정치,68,1729,6.08
2,법과 정치,65,1694,5.95
3,법과 정치,58,3990,14.02
4,법과 정치,52,4629,16.27
5,법과 정치,46,5319,18.69
6,법과 정치,40,5161,18.14
7,법과 정치,39,3419,12.02
8,법과 정치,36,1988,6.99
9,법과 정치,36미만,527,1.85
1,경제,73,428,4.73
2,경제,67,604,6.68
3,경제,57,1071,11.84
4,경제,48,1655,18.3
5,경제,45,2455,27.14
6,경제,43,984,10.88
7,경제,40,1398,15.46
8,경제,39,194,2.14
9,경제,39미만,256,2.83
1,사회·문화,69,6728,5.06
2,사회·문화,64,8037,6.05
3,사회·문화,58,17180,12.93
4,사회·문화,52,22515,16.94
5,사회·문화,46,26844,20.2
6,사회·문화,41,24703,18.59
7,사회·문화,38,12959,9.75
8,사회·문화,36,8627,6.49
9,사회·문화,36미만,5288,3.98
1,물리 Ⅰ,66,3791,7.11
2,물리 Ⅰ,63,3034,5.69
3,물리 Ⅰ,59,6566,12.31
4,물리 Ⅰ,53,8328,15.61
5,물리 Ⅰ,46,11058,20.73
6,물리 Ⅰ,41,8851,16.6
7,물리 Ⅰ,37,7355,13.79
8,물리 Ⅰ,35,2774,5.2
9,물리 Ⅰ,35미만,1578,2.96
1,화학 Ⅰ,66,3789,5.21
2,화학 Ⅰ,63,5923,8.14
3,화학 Ⅰ,59,8994,12.36
4,화학 Ⅰ,53,13155,18.07
5,화학 Ⅰ,47,12233,16.81
6,화학 Ⅰ,41,12547,17.24
7,화학 Ⅰ,37,10884,14.95
8,화학 Ⅰ,34,3350,4.6
9,화학 Ⅰ,34미만,1908,2.62
1,생명 과학 Ⅰ,68,6397,5.48
2,생명 과학 Ⅰ,64,8155,6.99
3,생명 과학 Ⅰ,58,14938,12.8
4,생명 과학 Ⅰ,52,17273,14.8
5,생명 과학 Ⅰ,46,25478,21.83
6,생명 과학 Ⅰ,42,19389,16.62
7,생명 과학 Ⅰ,38,12260,10.51
8,생명 과학 Ⅰ,35,8933,7.66
9,생명 과학 Ⅰ,35미만,3862,3.31
1,지구 과학 Ⅰ,70,5733,4.38
2,지구 과학 Ⅰ,63,10035,7.67
3,지구 과학 Ⅰ,57,16516,12.63
4,지구 과학 Ⅰ,52,20847,15.94
5,지구 과학 Ⅰ,46,29744,22.74
6,지구 과학 Ⅰ,42,18674,14.28
7,지구 과학 Ⅰ,38,16884,12.91
8,지구 과학 Ⅰ,35,8075,6.17
9,지구 과학 Ⅰ,35미만,4266,3.26
1,물리 Ⅱ,73,307,5.34
2,물리 Ⅱ,66,352,6.12
3,물리 Ⅱ,55,721,12.54
4,물리 Ⅱ,48,1059,18.41
5,물리 Ⅱ,45,1529,26.59
6,물리 Ⅱ,43,843,14.66
7,물리 Ⅱ,41,522,9.08
8,물리 Ⅱ,39,255,4.43
9,물리 Ⅱ,39미만,163,2.83
1,화학 Ⅱ,73,343,5.24
2,화학 Ⅱ,65,417,6.37
3,화학 Ⅱ,55,899,13.73
4,화학 Ⅱ,49,1042,15.92
5,화학 Ⅱ,45,1375,21
6,화학 Ⅱ,43,1294,19.76
7,화학 Ⅱ,41,559,8.54
8,화학 Ⅱ,38,457,6.98
9,화학 Ⅱ,38미만,161,2.46
1,생명 과학 Ⅱ,70,612,4.23
2,생명 과학 Ⅱ,66,992,6.86
3,생명 과학 Ⅱ,58,1743,12.05
4,생명 과학 Ⅱ,51,2446,16.92
5,생명 과학 Ⅱ,45,3439,23.78
6,생명 과학 Ⅱ,41,2469,17.08
7,생명 과학 Ⅱ,39,1645,11.38
8,생명 과학 Ⅱ,38,538,3.72
9,생명 과학 Ⅱ,38미만,575,3.98
1,지구 과학 Ⅱ,70,463,4.34
2,지구 과학 Ⅱ,66,788,7.38
3,지구 과학 Ⅱ,59,1229,11.52
4,지구 과학 Ⅱ,50,1820,17.06
5,지구 과학 Ⅱ,44,2506,23.48
6,지구 과학 Ⅱ,42,1808,16.94
7,지구 과학 Ⅱ,40,926,8.68
8,지구 과학 Ⅱ,38,825,7.73
9,지구 과학 Ⅱ,38미만,306,2.87
1,농업 이해,71,57,4.24
2,농업 이해,65,96,7.15
3,농업 이해,56,182,13.55
4,농업 이해,50,242,18.02
5,농업 이해,45,257,19.14
6,농업 이해,42,303,22.56
7,농업 이해,41,64,4.77
8,농업 이해,38,90,6.7
9,농업 이해,38미만,52,3.87
1,농업 기초 기술,74,42,4.27
2,농업 기초 기술,65,73,7.42
3,농업 기초 기술,54,131,13.31
4,농업 기초 기술,49,181,18.39
