등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,133,16927,4.33
2,국어,125,28441,7.27
3,국어,117,44918,11.48
4,국어,107,67793,17.33
5,국어,95,80103,20.47
6,국어,83,64916,16.59
7,국어,72,48330,12.35
8,국어,66,28300,7.23
9,국어,66미만,11496,2.94
1,수학,134,15851,4.09
2,수학,127,26893,6.94
3,수학,118,50449,13.02
4,수학,107,65939,17.01
5,수학,92,76982,19.86
6,수학,79,70097,18.09
7,수학,75,44808,11.56
8,수학,72,21379,5.52
9,수학,72미만,15177,3.92
1,영어,90,22546,5.74
2,영어,80,54322,13.83
3,영어,70,71989,18.33
4,영어,60,70091,17.84
5,영어,50,56290,14.33
6,영어,40,43379,11.04
7,영어,30,32222,8.2
8,영어,20,29044,7.39
9,영어,20미만,12956,3.3
1,한국사,40,61837,15.71
2,한국사,35,50707,12.89
3,한국사,30,58641,14.9
4,한국사,25,58827,14.95
5,한국사,20,48358,12.29
6,한국사,15,37075,9.42
7,한국사,10,52459,13.33
8,한국사,5,20541,5.22
9,한국사,5미만,5057,1.29
1,생활과 윤리,64,12400,9.88
2,생활과 윤리,63,1741,1.39
3,생활과 윤리,58,21237,16.91
4,생활과 윤리,53,19031,15.16
5,생활과 윤리,48,22686,18.07
6,생활과 윤리,42,19690,15.68
7,생활과 윤리,36,16394,13.06
8,생활과 윤리,32,8403,6.69
9,생활과 윤리,32미만,3970,3.16
1,윤리와 사상,70,1539,5.01
2,윤리와 사상,66,1970,6.42
3,윤리와 사상,58,3868,12.6
4,윤리와 사상,50,5978,19.47
5,윤리와 사상,44,8498,27.67
6,윤리와 사상,42,2113,6.88
7,윤리와 사상,39,4665,15.19
8,윤리와 사상,38,936,3.05
9,윤리와 사상,38미만,1141,3.72
1,한국지리,68,1351,4.21
2,한국지리,65,2442,7.61
3,한국지리,58,3870,12.07
4,한국지리,52,5875,18.32
5,한국지리,47,5824,18.16
6,한국지리,42,5632,17.56
7,한국지리,38,3572,11.14
8,한국지리,34,2908,9.07
9,한국지리,34미만,602,1.88
1,세계지리,68,1147,4.54
2,세계지리,64,2208,8.74
3,세계지리,59,2919,11.55
4,세계지리,52,4635,18.34
5,세계지리,46,4397,17.4
6,세계지리,41,4365,17.27
7,세계지리,38,2863,11.33
8,세계지리,35,2287,9.05
9,세계지리,35미만,450,1.78
1,동아시아사,69,945,5.01
2,동아시아사,65,1234,6.55
3,동아시아사,59,2255,11.96
4,동아시아사,52,3375,17.91
5,동아시아사,45,3676,19.5
6,동아시아사,41,4018,21.32
7,동아시아사,38,1847,9.8
8,동아시아사,36,906,4.81
9,동아시아사,36미만,591,3.14
1,세계사,71,632,4.3
2,세계사,66,1065,7.25
3,세계사,58,1736,11.81
4,세계사,50,2723,18.53
5,세계사,44,3710,25.24
6,세계사,42,1699,11.56
7,세계사,40,1857,12.64
8,세계사,37,940,6.4
9,세계사,37미만,335,2.28
1,경제,72,341,5.71
2,경제,66,324,5.42
3,경제,57,722,12.09
4,경제,49,1151,19.27
5,경제,44,1359,22.75
6,경제,42,1169,19.57
7,경제,40,534,8.94
8,경제,38,215,3.6
9,경제,38미만,159,2.66
1,정치와 법,68,1336,5.29
2,정치와 법,65,1677,6.64
3,정치와 법,59,2818,11.15
4,정치와 법,52,4500,17.81
5,정치와 법,46,4901,19.39
6,정치와 법,41,4264,16.87
7,정치와 법,38,3493,13.82
8,정치와 법,36,1791,7.09
9,정치와 법,36미만,493,1.95
1,사회·문화,65,7508,6.45
2,사회·문화,62,9435,8.11
3,사회·문화,59,13635,11.72
4,사회·문화,55,16088,13.83
5,사회·문화,48,23309,20.04
6,사회·문화,40,21366,18.37
7,사회·문화,36,14071,12.1
8,사회·문화,35,6470,5.56
9,사회·문화,35미만,4451,3.83
1,물리학 Ⅰ,66,3191,6.03
2,물리학 Ⅰ,63,3940,7.44
3,물리학 Ⅰ,60,5470,10.33
4,물리학 Ⅰ,54,9176,17.34
5,물리학 Ⅰ,46,10944,20.68
6,물리학 Ⅰ,40,9766,18.45
7,물리학 Ⅰ,37,6902,13.04
8,물리학 Ⅰ,35,1810,3.42
9,물리학 Ⅰ,35미만,1732,3.27
1,화학 Ⅰ,69,3128,4.98
2,화학 Ⅰ,64,4511,7.18
3,화학 Ⅰ,58,6901,10.99
4,화학 Ⅰ,52,10874,17.32
5,화학 Ⅰ,45,13834,22.03
6,화학 Ⅰ,42,9579,15.25
7,화학 Ⅰ,38,8639,13.76
8,화학 Ⅰ,36,3021,4.81
9,화학 Ⅰ,36미만,2310,3.68
1,생명과학 Ⅰ,66,7005,5.89
2,생명과학 Ⅰ,63,7842,6.6
3,생명과학 Ⅰ,59,13415,11.29
4,생명과학 Ⅰ,53,24138,20.31
5,생명과학 Ⅰ,47,20088,16.9
6,생명과학 Ⅰ,41,20918,17.6
7,생명과학 Ⅰ,37,14779,12.43
8,생명과학 Ⅰ,33,8657,7.28
9,생명과학 Ⅰ,33미만,2018,1.7
1,지구과학 Ⅰ,67,6823,5.87
2,지구과학 Ⅰ,64,7766,6.68
3,지구과학 Ⅰ,59,14102,12.13
4,지구과학 Ⅰ,52,19446,16.73
5,지구과학 Ⅰ,46,22273,19.16
6,지구과학 Ⅰ,42,20336,17.5
7,지구과학 Ⅰ,38,16106,13.86
8,지구과학 Ⅰ,35,6737,5.8
9,지구과학 Ⅰ,35미만,2639,2.27
1,물리학 Ⅱ,73,212,5.32
2,물리학 Ⅱ,66,261,6.55
3,물리학 Ⅱ,56,460,11.55
4,물리학 Ⅱ,48,851,21.37
5,물리학 Ⅱ,45,675,16.95
6,물리학 Ⅱ,43,833,20.92
7,물리학 Ⅱ,41,371,9.32
8,물리학 Ⅱ,39,247,6.2
9,물리학 Ⅱ,39미만,72,1.81
1,화학 Ⅱ,72,181,4.01
2,화학 Ⅱ,65,408,9.05
3,화학 Ⅱ,58,481,10.67
4,화학 Ⅱ,49,785,17.41
5,화학 Ⅱ,45,945,20.95
6,화학 Ⅱ,43,784,17.38
7,화학 Ⅱ,40,582,12.9
8,화학 Ⅱ,39,187,4.15
9,화학 Ⅱ,39미만,157,3.48
1,생명과학 Ⅱ,73,327,4.12
2,생명과학 Ⅱ,67,704,8.86
3,생명과학 Ⅱ,56,822,10.35
4,생명과학 Ⅱ,48,1494,18.81
5,생명과학 Ⅱ,45,1585,19.95
6,생명과학 Ⅱ,43,1320,16.62
7,생명과학 Ⅱ,41,1179,14.84
8,생명과학 Ⅱ,40,210,2.64
9,생명과학 Ⅱ,40미만,302,3.8
1,지구과학 Ⅱ,73,243,4.84
2,지구과학 Ⅱ,66,321,6.4
3,지구과학 Ⅱ,55,635,12.65
4,지구과학 Ⅱ,49,856,17.06
5,지구과학 Ⅱ,45,1205,24.01
6,지구과학 Ⅱ,44,676,13.47
7,지구과학 Ⅱ,41,647,12.89
8,지구과학 Ⅱ,38,260,5.18
9,지구과학 Ⅱ,38미만,175,3.49
1,성공적인 직업생활,67,298,4.95
2,성공적인 직업생활,62,541,8.98
3,성공적인 직업생활,58,636,10.56
4,성공적인 직업생활,53,1168,19.39
5,성공적인 직업생활,47,1033,17.15
6,성공적인 직업생활,42,1130,18.76
7,성공적인 직업생활,37,608,10.09
8,성공적인 직업생활,32,552,9.16
9,성공적인 직업생활,32미만,59,0.98
1,농업 기초 기술,73,28,4.06
2,농업 기초 기술,64,55,7.97
3,농업 기초 기술,56,76,11.01
4,농업 기초 기술,50,118,17.1
5,농업 기초 기술,46,142,20.58
6,농업 기초 기술,43,163,23.62
7,농업 기초 기술,40,40,5.8
8,농업 기초 기술,38,49,7.1
9,농업 기초 기술,38미만,19,2.75
1,공업 일반,68,79,6.5
2,공업 일반,65,67,5.51
3,공업 일반,60,137,11.27
4,공업 일반,51,225,18.5
5,공업 일반,45,231,19
6,공업 일반,40,356,29.28
7,공업 일반,-,-,-
8,공업 일반,37,84,6.91
9,공업 일반,37미만,37,3.04
1,상업 경제,73,104,4.28
2,상업 경제,63,178,7.32
3,상업 경제,56,278,11.43
4,상업 경제,49,519,21.34
5,상업 경제,45,509,20.93
6,상업 경제,43,393,16.16
7,상업 경제,41,266,10.94
8,상업 경제,38,99,4.07
9,상업 경제,38미만,86,3.54
1,수산·해운 산업 기초,75,4,4.12
2,수산·해운 산업 기초,66,7,7.22
3,수산·해운 산업 기초,55,12,12.37
4,수산·해운 산업 기초,48,25,25.77
5,수산·해운 산업 기초,47,11,11.34
6,수산·해운 산업 기초,43,16,16.49
7,수산·해운 산업 기초,42,19,19.59
8,수산·해운 산업 기초,-,-,-
9,수산·해운 산업 기초,42미만,3,3.09
1,인간 발달,70,74,4.03
2,인간 발달,62,146,7.96
3,인간 발달,56,216,11.78
4,인간 발달,51,365,19.9
5,인간 발달,46,426,23.23
6,인간 발달,42,282,15.38
7,인간 발달,39,159,8.67
8,인간 발달,37,108,5.89
9,인간 발달,37미만,58,3.16
1,독일어 Ⅰ,45,45,8.4
2,독일어 Ⅰ,40,103,19.22
3,독일어 Ⅰ,35,84,15.67
4,독일어 Ⅰ,30,65,12.13
5,독일어 Ⅰ,25,40,7.46
6,독일어 Ⅰ,20,31,5.78
7,독일어 Ⅰ,15,42,7.84
8,독일어 Ⅰ,10,85,15.86
9,독일어 Ⅰ,10미만,41,7.65
1,프랑스어 Ⅰ,45,27,3.59
2,프랑스어 Ⅰ,40,72,9.56
3,프랑스어 Ⅰ,35,130,17.26
