등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,124,22189 ,5.56
2,국어,121,24589 ,6.16
3,국어,116,52682 ,13.2
4,국어,110,62331 ,15.61
5,국어,101,77909 ,19.51
6,국어,87,70674 ,17.7
7,국어,66,47174 ,11.82
8,국어,57,27420 ,6.87
9,국어,57미만,14283 ,3.58
1,수학,133,16334 ,4.14
2,수학,126,31384 ,7.95
3,수학,118,49213 ,12.46
4,수학,108,61645 ,15.61
5,수학,92,79028 ,20.01
6,수학,79,72544 ,18.37
7,수학,75,53331 ,13.5
8,수학,72,19709 ,4.99
9,수학,72미만,11767 ,2.98
1,영어,90,19546 ,4.87
2,영어,80,48255 ,12.03
3,영어,70,77010 ,19.2
4,영어,60,88900 ,22.17
5,영어,50,63858 ,15.92
6,영어,40,36678 ,9.15
7,영어,30,23559 ,5.87
8,영어,20,24912 ,6.21
9,영어,20미만,18300 ,4.56
1,한국사,40,30524 ,7.6
2,한국사,35,30805 ,7.67
3,한국사,30,44160 ,10.99
4,한국사,25,58636 ,14.6
5,한국사,20,71815 ,17.88
6,한국사,15,74281 ,18.49
7,한국사,10,57992 ,14.44
8,한국사,5,30389 ,7.57
9,한국사,5미만,3103 ,0.77
1,생활과 윤리,65,5985 ,4.84
2,생활과 윤리,63,8325 ,6.74
3,생활과 윤리,59,15350 ,12.42
4,생활과 윤리,54,21030 ,17.02
5,생활과 윤리,48,26056 ,21.08
6,생활과 윤리,41,19729 ,15.96
7,생활과 윤리,36,14131 ,11.43
8,생활과 윤리,33,9753 ,7.89
9,생활과 윤리,33미만,3226 ,2.61
1,윤리와 사상,66,1280 ,4.56
2,윤리와 사상,64,2005 ,7.14
3,윤리와 사상,60,4004 ,14.26
4,윤리와 사상,54,4342 ,15.46
5,윤리와 사상,45,6059 ,21.57
6,윤리와 사상,40,4113 ,14.64
7,윤리와 사상,37,5233 ,18.63
8,윤리와 사상,-,-,-
9,윤리와 사상,37미만,1051 ,3.74
1,한국지리,67,2351 ,6.11
2,한국지리,64,3247 ,8.44
3,한국지리,60,3390 ,8.81
4,한국지리,52,6628 ,17.22
5,한국지리,45,8632 ,22.43
6,한국지리,41,5954 ,15.47
7,한국지리,39,4233 ,11
8,한국지리,36,3078 ,8
9,한국지리,36미만,968 ,2.52
1,세계지리,67,1572 ,5.4
2,세계지리,64,1916 ,6.58
3,세계지리,60,3685 ,12.65
4,세계지리,53,4679 ,16.06
5,세계지리,46,5801 ,19.91
6,세계지리,40,7322 ,25.13
7,세계지리,38,1414 ,4.85
8,세계지리,35,1877 ,6.44
9,세계지리,35미만,870 ,2.99
1,동아시아사,68,1103 ,5.27
2,동아시아사,65,1319 ,6.3
3,동아시아사,59,2789 ,13.32
4,동아시아사,51,3788 ,18.1
5,동아시아사,45,3727 ,17.81
6,동아시아사,41,3627 ,17.33
7,동아시아사,39,2649 ,12.66
8,동아시아사,36,1414 ,6.76
9,동아시아사,36미만,515 ,2.46
1,세계사,68,737 ,4.81
2,세계사,65,1045 ,6.81
3,세계사,60,1874 ,12.22
4,세계사,52,2737 ,17.85
5,세계사,44,3376 ,22.01
6,세계사,41,2641 ,17.22
7,세계사,39,1255 ,8.18
8,세계사,37,1161 ,7.57
9,세계사,37미만,509 ,3.32
1,경제,68,345 ,6.21
2,경제,65,333 ,5.99
3,경제,60,614 ,11.04
4,경제,52,935 ,16.82
5,경제,45,1148 ,20.65
6,경제,40,1530 ,27.52
7,경제,39,176 ,3.17
8,경제,37,296 ,5.32
9,경제,37미만,183 ,3.29
1,정치와 법,66,1718 ,6.98
2,정치와 법,64,1455 ,5.91
3,정치와 법,59,2797 ,11.36
4,정치와 법,53,3907 ,15.87
5,정치와 법,46,4941 ,20.07
6,정치와 법,42,4147 ,16.84
7,정치와 법,37,3117 ,12.66
8,정치와 법,35,1987 ,8.07
9,정치와 법,35미만,551 ,2.24
1,사회·문화,65,6758 ,5.82
