등급,과목,구분 점수,인원(명),비율(퍼센트)
6,생명과학 Ⅱ,41,1613 ,28.17
7,생명과학 Ⅱ,-,-,-
8,생명과학 Ⅱ,39,265 ,4.63
9,생명과학 Ⅱ,39미만,220 ,3.84
1,지구과학 Ⅱ,78,184 ,4.06
2,지구과학 Ⅱ,61,320 ,7.07
3,지구과학 Ⅱ,52,676 ,14.93
4,지구과학 Ⅱ,49,1036 ,22.88
5,지구과학 Ⅱ,47,572 ,12.63
6,지구과학 Ⅱ,44,764 ,16.87
7,지구과학 Ⅱ,41,601 ,13.27
8,지구과학 Ⅱ,39,239 ,5.28
9,지구과학 Ⅱ,39미만,136 ,3
1,성공적인 직업생활,67,198 ,4.69
2,성공적인 직업생활,64,316 ,7.48
3,성공적인 직업생활,59,557 ,13.19
4,성공적인 직업생활,53,659 ,15.61
5,성공적인 직업생활,45,812 ,19.23
6,성공적인 직업생활,42,733 ,17.36
7,성공적인 직업생활,38,614 ,14.54
8,성공적인 직업생활,36,197 ,4.66
9,성공적인 직업생활,36미만,137 ,3.24
1,농업 기초 기술,71,21 ,4.55
2,농업 기초 기술,66,31 ,6.71
3,농업 기초 기술,57,58 ,12.55
4,농업 기초 기술,48,85 ,18.4
5,농업 기초 기술,44,171 ,37.01
6,농업 기초 기술,-,-,-
7,농업 기초 기술,40,46 ,9.96
8,농업 기초 기술,37,43 ,9.31
9,농업 기초 기술,37미만,7 ,1.52
1,공업 일반,67,67 ,5.73
2,공업 일반,65,71 ,6.07
3,공업 일반,60,145 ,12.4
4,공업 일반,53,194 ,16.6
5,공업 일반,44,268 ,22.93
6,공업 일반,40,209 ,17.88
7,공업 일반,39,115 ,9.84
8,공업 일반,37,73 ,6.24
9,공업 일반,37미만,27 ,2.31
1,상업 경제,70,55 ,4.39
2,상업 경제,65,94 ,7.5
3,상업 경제,58,158 ,12.6
4,상업 경제,51,215 ,17.15
5,상업 경제,44,259 ,20.65
6,상업 경제,42,267 ,21.29
7,상업 경제,40,76 ,6.06
8,상업 경제,37,91 ,7.26
9,상업 경제,37미만,39 ,3.11
1,수산·해운 산업 기초,73,3 ,4.11
2,수산·해운 산업 기초,64,6 ,8.22
3,수산·해운 산업 기초,59,8 ,10.96
4,수산·해운 산업 기초,48,13 ,17.81
5,수산·해운 산업 기초,44,27 ,36.99
6,수산·해운 산업 기초,-,-,-
7,수산·해운 산업 기초,41,11 ,15.07
8,수산·해운 산업 기초,36,3 ,4.11
9,수산·해운 산업 기초,36미만,2 ,2.74
1,인간발달,72,60 ,4.37
2,인간발달,65,96 ,6.99
3,인간발달,56,210 ,15.29
4,인간발달,51,189 ,13.77
5,인간발달,46,355 ,25.86
6,인간발달,43,148 ,10.78
7,인간발달,38,224 ,16.31
8,인간발달,37,47 ,3.42
9,인간발달,37미만,44 ,3.2
1,독일어 Ⅰ,45,64 ,13.73
2,독일어 Ⅰ,40,75 ,16.09
3,독일어 Ⅰ,35,74 ,15.88
4,독일어 Ⅰ,30,65 ,13.95
5,독일어 Ⅰ,25,48 ,10.3
6,독일어 Ⅰ,20,27 ,5.79
7,독일어 Ⅰ,15,37 ,7.94
8,독일어 Ⅰ,10,46 ,9.87
9,독일어 Ⅰ,10미만,30 ,6.44
1,프랑스어 Ⅰ,45,31 ,4.34
2,프랑스어 Ⅰ,40,137 ,19.19
3,프랑스어 Ⅰ,35,121 ,16.95
4,프랑스어 Ⅰ,30,101 ,14.15
5,프랑스어 Ⅰ,25,91 ,12.75
6,프랑스어 Ⅰ,20,64 ,8.96
7,프랑스어 Ⅰ,15,63 ,8.82
8,프랑스어 Ⅰ,10,76 ,10.64
9,프랑스어 Ⅰ,10미만,30 ,4.2
1,스페인어 Ⅰ,45,84 ,10.45
2,스페인어 Ⅰ,40,123 ,15.3
3,스페인어 Ⅰ,35,98 ,12.19
4,스페인어 Ⅰ,30,110 ,13.68
5,스페인어 Ⅰ,25,86 ,10.7
6,스페인어 Ⅰ,20,73 ,9.08
7,스페인어 Ⅰ,15,80 ,9.95
8,스페인어 Ⅰ,10,115 ,14.3
9,스페인어 Ⅰ,10미만,35 ,4.35
1,중국어 Ⅰ,45,215 ,12.57
2,중국어 Ⅰ,40,310 ,18.13
3,중국어 Ⅰ,35,251 ,14.68
4,중국어 Ⅰ,30,197 ,11.52
5,중국어 Ⅰ,25,159 ,9.3
6,중국어 Ⅰ,20,119 ,6.96
7,중국어 Ⅰ,15,155 ,9.06
8,중국어 Ⅰ,10,185 ,10.82
9,중국어 Ⅰ,10미만,119 ,6.96
1,일본어 Ⅰ,45,84 ,5.19
2,일본어 Ⅰ,40,226 ,13.95
3,일본어 Ⅰ,35,241 ,14.88
4,일본어 Ⅰ,30,163 ,10.06
5,일본어 Ⅰ,25,178 ,10.99
6,일본어 Ⅰ,20,140 ,8.64
7,일본어 Ⅰ,15,194 ,11.98
8,일본어 Ⅰ,10,245 ,15.12
9,일본어 Ⅰ,10미만,149 ,9.2
1,러시아어 Ⅰ,45,21 ,10.5
2,러시아어 Ⅰ,40,28 ,14
3,러시아어 Ⅰ,35,26 ,13
4,러시아어 Ⅰ,30,21 ,10.5
5,러시아어 Ⅰ,25,20 ,10
6,러시아어 Ⅰ,20,18 ,9
7,러시아어 Ⅰ,15,13 ,6.5
8,러시아어 Ⅰ,10,27 ,13.5
9,러시아어 Ⅰ,10미만,26 ,13
1,아랍어 Ⅰ,45,19 ,6.55
2,아랍어 Ⅰ,40,7 ,2.41
3,아랍어 Ⅰ,35,6 ,2.07
4,아랍어 Ⅰ,30,2 ,0.69
5,아랍어 Ⅰ,25,5 ,1.72
6,아랍어 Ⅰ,20,25 ,8.62
7,아랍어 Ⅰ,15,69 ,23.79
8,아랍어 Ⅰ,10,113 ,38.97
9,아랍어 Ⅰ,10미만,44 ,15.17
1,베트남어 Ⅰ,45,15 ,15.63
2,베트남어 Ⅰ,40,9 ,9.38
3,베트남어 Ⅰ,35,3 ,3.13
4,베트남어 Ⅰ,30,5 ,5.21
5,베트남어 Ⅰ,25,3 ,3.13
6,베트남어 Ⅰ,20,8 ,8.33
7,베트남어 Ⅰ,15,10 ,10.42
8,베트남어 Ⅰ,10,24 ,25
9,베트남어 Ⅰ,10미만,19 ,19.79
1,한문 Ⅰ,45,100 ,7.97
2,한문 Ⅰ,40,116 ,9.25
3,한문 Ⅰ,35,163 ,13
4,한문 Ⅰ,30,232 ,18.5
5,한문 Ⅰ,25,275 ,21.93
6,한문 Ⅰ,20,197 ,15.71
7,한문 Ⅰ,15,98 ,7.81
8,한문 Ⅰ,10,59 ,4.7
9,한문 Ⅰ,10미만,14 ,1.12
