등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,130,15720 ,4.22
2,국어,123,29714 ,7.98
3,국어,116,43740 ,11.74
4,국어,108,59967 ,16.1
5,국어,98,76007 ,20.4
6,국어,86,63654 ,17.08
7,국어,70,44423 ,11.92
8,국어,60,28787 ,7.73
9,국어,60미만,10561 ,2.83
1,수학,135,15935 ,4.33
2,수학,126,26934 ,7.31
3,수학,116,47854 ,12.99
4,수학,106,62594 ,16.99
5,수학,95,68261 ,18.53
6,수학,80,63718 ,17.3
7,수학,74,44392 ,12.05
8,수학,70,24694 ,6.7
9,수학,70미만,13939 ,3.78
1,영어,90,16341 ,4.37
2,영어,80,49913 ,13.34
3,영어,70,89228 ,23.85
4,영어,60,86694 ,23.17
5,영어,50,46438 ,12.41
6,영어,40,27551 ,7.36
7,영어,30,20336 ,5.44
8,영어,20,27112 ,7.25
9,영어,20미만,10529 ,2.81
1,한국사,40,141213 ,37.67
2,한국사,35,68962 ,18.39
3,한국사,30,52203 ,13.92
4,한국사,25,33786 ,9.01
5,한국사,20,21385 ,5.7
6,한국사,15,18685 ,4.98
7,한국사,10,24911 ,6.64
8,한국사,5,11447 ,3.05
9,한국사,5미만,2315 ,0.62
1,생활과 윤리,66,5075 ,4.42
2,생활과 윤리,61,13199 ,11.49
3,생활과 윤리,59,10659 ,9.28
4,생활과 윤리,54,18315 ,15.95
5,생활과 윤리,48,24012 ,20.91
6,생활과 윤리,41,19539 ,17.01
7,생활과 윤리,35,17014 ,14.82
8,생활과 윤리,33,2512 ,2.19
9,생활과 윤리,33미만,4511 ,3.93
1,윤리와 사상,67,1530 ,5.12
2,윤리와 사상,63,3010 ,10.07
3,윤리와 사상,59,2627 ,8.79
4,윤리와 사상,53,5419 ,18.13
5,윤리와 사상,46,5687 ,19.03
6,윤리와 사상,41,5630 ,18.84
7,윤리와 사상,38,3403 ,11.39
8,윤리와 사상,35,1533 ,5.13
9,윤리와 사상,35미만,1046 ,3.5
1,한국지리,67,1285 ,4.73
2,한국지리,63,1968 ,7.24
3,한국지리,59,3148 ,11.58
4,한국지리,53,4703 ,17.31
5,한국지리,46,6542 ,24.07
6,한국지리,41,4635 ,17.06
7,한국지리,37,2045 ,7.53
8,한국지리,33,2560 ,9.42
9,한국지리,33미만,289 ,1.06
1,세계지리,67,1267 ,5.62
2,세계지리,64,1243 ,5.51
3,세계지리,59,3022 ,13.4
4,세계지리,53,3863 ,17.14
5,세계지리,46,4643 ,20.6
6,세계지리,41,3720 ,16.5
7,세계지리,38,2447 ,10.85
8,세계지리,35,1606 ,7.12
9,세계지리,35미만,733 ,3.25
1,동아시아사,65,1304 ,8.89
2,동아시아사,63,1119 ,7.63
3,동아시아사,60,1295 ,8.83
4,동아시아사,54,2160 ,14.72
5,동아시아사,46,3053 ,20.81
6,동아시아사,40,2631 ,17.93
7,동아시아사,37,1806 ,12.31
8,동아시아사,36,763 ,5.2
9,동아시아사,36미만,540 ,3.68
1,세계사,67,669 ,5.36
2,세계사,65,769 ,6.16
3,세계사,60,1646 ,13.18
4,세계사,52,2106 ,16.87
5,세계사,45,2524 ,20.22
6,세계사,40,2898 ,23.21
7,세계사,38,1205 ,9.65
8,세계사,37,205 ,1.64
9,세계사,37미만,463 ,3.71
1,경제,69,183 ,4.07
2,경제,65,327 ,7.27
3,경제,59,579 ,12.87
4,경제,51,853 ,18.96
5,경제,45,1004 ,22.31
6,경제,41,642 ,14.27
7,경제,38,705 ,15.67
8,경제,37,46 ,1.02
9,경제,37미만,161 ,3.58
1,정치와 법,65,1343 ,6.3
2,정치와 법,63,1240 ,5.82
3,정치와 법,59,2981 ,13.98
4,정치와 법,54,3378 ,15.85
5,정치와 법,47,4150 ,19.47
6,정치와 법,40,3708 ,17.39
7,정치와 법,37,2840 ,13.32
8,정치와 법,34,917 ,4.3
9,정치와 법,34미만,760 ,3.57
1,사회·문화,66,5080 ,4.94
2,사회·문화,63,7719 ,7.5
3,사회·문화,59,13790 ,13.4
4,사회·문화,53,19383 ,18.84
5,사회·문화,47,17401 ,16.91
6,사회·문화,40,18036 ,17.53
7,사회·문화,37,14609 ,14.2
8,사회·문화,35,2965 ,2.88
9,사회·문화,35미만,3921 ,3.81
1,물리학 Ⅰ,67,3045 ,5.65
2,물리학 Ⅰ,65,2954 ,5.48
3,물리학 Ⅰ,59,7495 ,13.9
4,물리학 Ⅰ,53,8357 ,15.5
5,물리학 Ⅰ,46,10590 ,19.64
6,물리학 Ⅰ,40,13063 ,24.22
7,물리학 Ⅰ,38,2929 ,5.43
8,물리학 Ⅰ,36,3648 ,6.76
9,물리학 Ⅰ,36미만,1849 ,3.43
1,화학 Ⅰ,66,2717 ,5.43
2,화학 Ⅰ,64,2972 ,5.94
3,화학 Ⅰ,59,6446 ,12.89
4,화학 Ⅰ,53,9191 ,18.38
5,화학 Ⅰ,47,10073 ,20.15
6,화학 Ⅰ,41,7638 ,15.28
7,화학 Ⅰ,37,5601 ,11.2
8,화학 Ⅰ,33,4610 ,9.22
9,화학 Ⅰ,33미만,747 ,1.49
1,생명과학 Ⅰ,67,7698 ,6.03
2,생명과학 Ⅰ,63,7191 ,5.63
3,생명과학 Ⅰ,58,17997 ,14.09
4,생명과학 Ⅰ,53,20789 ,16.28
5,생명과학 Ⅰ,47,24422 ,19.12
6,생명과학 Ⅰ,41,22177 ,17.37
7,생명과학 Ⅰ,37,14718 ,11.53
8,생명과학 Ⅰ,33,10757 ,8.42
9,생명과학 Ⅰ,33미만,1950 ,1.53
1,지구과학 Ⅰ,66,8000 ,5.99
2,지구과학 Ⅰ,64,8304 ,6.22
3,지구과학 Ⅰ,60,15631 ,11.71
4,지구과학 Ⅰ,53,23677 ,17.74
5,지구과학 Ⅰ,46,25051 ,18.77
6,지구과학 Ⅰ,40,25038 ,18.76
7,지구과학 Ⅰ,37,18403 ,13.79
8,지구과학 Ⅰ,35,5635 ,4.22
9,지구과학 Ⅰ,35미만,3710 ,2.78
1,물리학 Ⅱ,75,168 ,4.32
2,물리학 Ⅱ,67,263 ,6.76
3,물리학 Ⅱ,54,519 ,13.34
4,물리학 Ⅱ,48,764 ,19.63
5,물리학 Ⅱ,45,776 ,19.94
6,물리학 Ⅱ,43,849 ,21.81
7,물리학 Ⅱ,42,199 ,5.11
8,물리학 Ⅱ,39,246 ,6.32
9,물리학 Ⅱ,39미만,108 ,2.77
1,화학 Ⅱ,73,180 ,4.86
2,화학 Ⅱ,66,240 ,6.48
3,화학 Ⅱ,56,460 ,12.42
4,화학 Ⅱ,49,718 ,19.38
5,화학 Ⅱ,45,799 ,21.57
6,화학 Ⅱ,43,518 ,13.98
7,화학 Ⅱ,40,394 ,10.64
8,화학 Ⅱ,39,305 ,8.23
9,화학 Ⅱ,39미만,90 ,2.43
1,생명과학 Ⅱ,72,286 ,5
2,생명과학 Ⅱ,66,388 ,6.78
3,생명과학 Ⅱ,56,760 ,13.28
4,생명과학 Ⅱ,49,1017 ,17.76
5,생명과학 Ⅱ,45,1176 ,20.54
