등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,129,18430 ,4.79
2,국어,123,28282 ,7.35
3,국어,117,43919 ,11.42
4,국어,109,63422 ,16.48
5,국어,97,81227 ,21.11
6,국어,84,61234 ,15.92
7,국어,70,49343 ,12.83
8,국어,63,27717 ,7.2
9,국어,63미만,11152 ,2.9
1,수학,133,16118 ,4.24
2,수학,126,29605 ,7.78
3,수학,118,46073 ,12.11
4,수학,107,66026 ,17.35
5,수학,92,72162 ,18.96
6,수학,79,80263 ,21.09
7,수학,75,37042 ,9.73
8,수학,72,22325 ,5.87
9,수학,72미만,10906 ,2.87
1,영어,90,61729 ,15.97
2,영어,80,73737 ,19.08
3,영어,70,77688 ,20.1
4,영어,60,59228 ,15.32
5,영어,50,36316 ,9.39
6,영어,40,24532 ,6.35
7,영어,30,18100 ,4.68
8,영어,20,22512 ,5.82
9,영어,20미만,12709 ,3.29
1,한국사,40,23266 ,6.01
2,한국사,35,39075 ,10.09
3,한국사,30,65775 ,16.98
4,한국사,25,73313 ,18.93
5,한국사,20,62173 ,16.05
6,한국사,15,48618 ,12.55
7,한국사,10,37526 ,9.69
8,한국사,5,34143 ,8.81
9,한국사,5미만,3451 ,0.89
1,생활과 윤리,65,9727 ,7.8
2,생활과 윤리,63,4771 ,3.83
3,생활과 윤리,59,14504 ,11.63
4,생활과 윤리,54,21149 ,16.96
5,생활과 윤리,48,27246 ,21.85
6,생활과 윤리,41,20963 ,16.81
7,생활과 윤리,36,12940 ,10.38
8,생활과 윤리,33,10946 ,8.78
9,생활과 윤리,33미만,2460 ,1.97
1,윤리와 사상,68,1252 ,4.22
2,윤리와 사상,64,2401 ,8.1
3,윤리와 사상,59,3751 ,12.65
4,윤리와 사상,52,5115 ,17.25
5,윤리와 사상,45,6316 ,21.3
6,윤리와 사상,42,4161 ,14.03
7,윤리와 사상,37,5500 ,18.54
8,윤리와 사상,-,-,-
9,윤리와 사상,37미만,1163 ,3.92
1,한국지리,67,1562 ,5.09
2,한국지리,64,2132 ,6.95
3,한국지리,60,3463 ,11.3
4,한국지리,53,5266 ,17.18
5,한국지리,46,6314 ,20.59
6,한국지리,40,5737 ,18.71
7,한국지리,38,3489 ,11.38
8,한국지리,36,1628 ,5.31
9,한국지리,36미만,1067 ,3.48
1,세계지리,70,1062 ,4.51
2,세계지리,66,1638 ,6.96
3,세계지리,58,3351 ,14.23
