등급,과목,구분 점수,인원(명),비율(퍼센트)
4,세계지리,50,4340 ,18.43
5,세계지리,45,4107 ,17.44
6,세계지리,41,5667 ,24.07
7,세계지리,39,1375 ,5.84
8,세계지리,37,1323 ,5.62
9,세계지리,37미만,683 ,2.9
1,동아시아사,66,1233 ,6.93
2,동아시아사,64,1080 ,6.07
3,동아시아사,60,2106 ,11.83
4,동아시아사,54,2705 ,15.2
5,동아시아사,45,4014 ,22.55
6,동아시아사,40,3321 ,18.66
7,동아시아사,38,1486 ,8.35
8,동아시아사,36,1391 ,7.82
9,동아시아사,36미만,462 ,2.6
1,세계사,69,687 ,4.99
2,세계사,65,950 ,6.9
3,세계사,59,1663 ,12.08
4,세계사,50,2417 ,17.55
5,세계사,45,2866 ,20.81
6,세계사,42,2531 ,18.38
7,세계사,39,1501 ,10.9
8,세계사,37,819 ,5.95
9,세계사,37미만,337 ,2.45
1,경제,68,189 ,4.08
2,경제,64,387 ,8.35
3,경제,60,522 ,11.26
4,경제,53,757 ,16.33
5,경제,45,948 ,20.44
6,경제,41,1049 ,22.62
7,경제,38,376 ,8.11
8,경제,36,260 ,5.61
9,경제,36미만,149 ,3.21
1,정치와 법,65,1007 ,4.36
2,정치와 법,63,2009 ,8.69
3,정치와 법,60,2694 ,11.65
4,정치와 법,54,4225 ,18.27
5,정치와 법,47,4104 ,17.75
6,정치와 법,40,4217 ,18.24
7,정치와 법,37,2495 ,10.79
8,정치와 법,34,2096 ,9.07
9,정치와 법,34미만,274 ,1.19
1,사회·문화,65,7635 ,6.84
2,사회·문화,63,7042 ,6.31
3,사회·문화,59,14916 ,13.36
4,사회·문화,54,17212 ,15.41
5,사회·문화,47,21349 ,19.12
6,사회·문화,39,21410 ,19.17
7,사회·문화,36,15838 ,14.18
8,사회·문화,34,3088 ,2.77
9,사회·문화,34미만,3170 ,2.84
1,물리학 Ⅰ,68,2682 ,4.99
2,물리학 Ⅰ,64,4145 ,7.71
3,물리학 Ⅰ,58,7862 ,14.61
4,물리학 Ⅰ,52,7353 ,13.67
5,물리학 Ⅰ,45,13030 ,24.22
6,물리학 Ⅰ,41,6876 ,12.78
7,물리학 Ⅰ,38,7941 ,14.76
8,물리학 Ⅰ,36,1996 ,3.71
9,물리학 Ⅰ,36미만,1911 ,3.55
1,화학 Ⅰ,67,2656 ,4.28
2,화학 Ⅰ,64,4413 ,7.11
3,화학 Ⅰ,59,8916 ,14.36
4,화학 Ⅰ,54,8870 ,14.28
5,화학 Ⅰ,46,13193 ,21.25
6,화학 Ⅰ,41,10370 ,16.7
7,화학 Ⅰ,37,9484 ,15.27
8,화학 Ⅰ,35,2507 ,4.04
9,화학 Ⅰ,35미만,1685 ,2.71
1,생명과학 Ⅰ,67,6633 ,5.42
2,생명과학 Ⅰ,63,7155 ,5.85
3,생명과학 Ⅰ,59,15623 ,12.77
4,생명과학 Ⅰ,53,21867 ,17.87
5,생명과학 Ⅰ,47,24045 ,19.65
6,생명과학 Ⅰ,41,22467 ,18.36
7,생명과학 Ⅰ,37,11192 ,9.14
8,생명과학 Ⅰ,34,9274 ,7.58
9,생명과학 Ⅰ,34미만,4129 ,3.37
1,지구과학 Ⅰ,67,6391 ,5.16
2,지구과학 Ⅰ,65,7456 ,6.02
3,지구과학 Ⅰ,60,14801 ,11.94
4,지구과학 Ⅰ,53,22471 ,18.13
5,지구과학 Ⅰ,45,28547 ,23.03
6,지구과학 Ⅰ,41,18677 ,15.07
7,지구과학 Ⅰ,37,17288 ,13.95
8,지구과학 Ⅰ,35,5058 ,4.08
9,지구과학 Ⅰ,35미만,3243 ,2.62
1,물리학 Ⅱ,68,141 ,4.82
2,물리학 Ⅱ,64,264 ,9.03
3,물리학 Ⅱ,60,270 ,9.23
4,물리학 Ⅱ,51,547 ,18.71
5,물리학 Ⅱ,44,556 ,19.02
6,물리학 Ⅱ,42,616 ,21.07
7,물리학 Ⅱ,39,290 ,9.92
8,물리학 Ⅱ,37,134 ,4.58
9,물리학 Ⅱ,37미만,106 ,3.63
1,화학 Ⅱ,68,132 ,4.23
2,화학 Ⅱ,65,222 ,7.12
3,화학 Ⅱ,59,415 ,13.3
4,화학 Ⅱ,53,497 ,15.93
5,화학 Ⅱ,44,679 ,21.76
6,화학 Ⅱ,40,788 ,25.26
7,화학 Ⅱ,39,110 ,3.53
8,화학 Ⅱ,37,190 ,6.09
9,화학 Ⅱ,37미만,87 ,2.79
1,생명과학 Ⅱ,67,343 ,6.55
2,생명과학 Ⅱ,65,240 ,4.58
3,생명과학 Ⅱ,60,704 ,13.44
4,생명과학 Ⅱ,51,892 ,17.03
5,생명과학 Ⅱ,44,1266 ,24.17
6,생명과학 Ⅱ,41,872 ,16.65
7,생명과학 Ⅱ,38,688 ,13.14
8,생명과학 Ⅱ,37,88 ,1.68
9,생명과학 Ⅱ,37미만,144 ,2.75
1,지구과학 Ⅱ,70,162 ,4.97
2,지구과학 Ⅱ,66,225 ,6.9
3,지구과학 Ⅱ,59,385 ,11.81
4,지구과학 Ⅱ,49,547 ,16.77
5,지구과학 Ⅱ,44,715 ,21.93
6,지구과학 Ⅱ,42,768 ,23.55
7,지구과학 Ⅱ,41,139 ,4.26
8,지구과학 Ⅱ,38,231 ,7.08
9,지구과학 Ⅱ,38미만,89 ,2.73
1,성공적인 직업생활,68,224 ,4.43
2,성공적인 직업생활,64,397 ,7.85
3,성공적인 직업생활,59,549 ,10.85
4,성공적인 직업생활,52,988 ,19.53
5,성공적인 직업생활,46,1055 ,20.85
6,성공적인 직업생활,40,763 ,15.08
7,성공적인 직업생활,39,611 ,12.08
8,성공적인 직업생활,35,322 ,6.36
9,성공적인 직업생활,35미만,151 ,2.98
1,농업 기초 기술,73,23 ,4.54
2,농업 기초 기술,61,42 ,8.28
3,농업 기초 기술,55,53 ,10.45
4,농업 기초 기술,48,105 ,20.71
5,농업 기초 기술,47,143 ,28.21
6,농업 기초 기술,45,28 ,5.52
7,농업 기초 기술,41,60 ,11.83
8,농업 기초 기술,36,41 ,8.09
9,농업 기초 기술,36미만,12 ,2.37
1,공업 일반,70,62 ,4.53
2,공업 일반,65,96 ,7.01
3,공업 일반,58,163 ,11.91
4,공업 일반,50,253 ,18.48
5,공업 일반,45,274 ,20.01
6,공업 일반,42,242 ,17.68
7,공업 일반,39,140 ,10.23
8,공업 일반,37,92 ,6.72
9,공업 일반,37미만,47 ,3.43
1,상업 경제,72,85 ,4.79
2,상업 경제,64,125 ,7.04
3,상업 경제,57,205 ,11.54
4,상업 경제,50,328 ,18.47
5,상업 경제,44,394 ,22.18
6,상업 경제,42,363 ,20.44
7,상업 경제,40,131 ,7.38
8,상업 경제,38,90 ,5.07
9,상업 경제,38미만,55 ,3.1
1,수산·해운 산업 기초,73,5 ,4.2
2,수산·해운 산업 기초,62,13 ,10.92
3,수산·해운 산업 기초,53,14 ,11.76
4,수산·해운 산업 기초,49,26 ,21.85
5,수산·해운 산업 기초,47,25 ,21.01
6,수산·해운 산업 기초,44,14 ,11.76
7,수산·해운 산업 기초,40,10 ,8.4
8,수산·해운 산업 기초,37,9 ,7.56
9,수산·해운 산업 기초,37미만,3 ,2.52
1,인간발달,73,60 ,4.07
2,인간발달,63,122 ,8.27
3,인간발달,56,187 ,12.68
4,인간발달,50,266 ,18.03
5,인간발달,46,336 ,22.78
6,인간발달,43,199 ,13.49
7,인간발달,40,157 ,10.64
8,인간발달,36,129 ,8.75
9,인간발달,36미만,19 ,1.29
1,독일어 Ⅰ,45,19 ,3.63
2,독일어 Ⅰ,40,76 ,14.5
3,독일어 Ⅰ,35,111 ,21.18
4,독일어 Ⅰ,30,72 ,13.74
5,독일어 Ⅰ,25,51 ,9.73
6,독일어 Ⅰ,20,46 ,8.78
7,독일어 Ⅰ,15,32 ,6.11
8,독일어 Ⅰ,10,79 ,15.08
9,독일어 Ⅰ,10미만,38 ,7.25
1,프랑스어 Ⅰ,45,128 ,17.23
2,프랑스어 Ⅰ,40,152 ,20.46
3,프랑스어 Ⅰ,35,93 ,12.52
4,프랑스어 Ⅰ,30,83 ,11.17
5,프랑스어 Ⅰ,25,65 ,8.75
6,프랑스어 Ⅰ,20,57 ,7.67
7,프랑스어 Ⅰ,15,56 ,7.54
8,프랑스어 Ⅰ,10,77 ,10.36
9,프랑스어 Ⅰ,10미만,32 ,4.31
1,스페인어 Ⅰ,45,26 ,2.92
2,스페인어 Ⅰ,40,100 ,11.22
3,스페인어 Ⅰ,35,122 ,13.69
4,스페인어 Ⅰ,30,91 ,10.21
5,스페인어 Ⅰ,25,66 ,7.41
6,스페인어 Ⅰ,20,103 ,11.56
7,스페인어 Ⅰ,15,134 ,15.04
8,스페인어 Ⅰ,10,178 ,19.98
9,스페인어 Ⅰ,10미만,71 ,7.97
1,중국어 Ⅰ,45,348 ,16.74
2,중국어 Ⅰ,40,333 ,16.02
3,중국어 Ⅰ,35,260 ,12.51
4,중국어 Ⅰ,30,192 ,9.24
5,중국어 Ⅰ,25,139 ,6.69
6,중국어 Ⅰ,20,156 ,7.5
7,중국어 Ⅰ,15,209 ,10.05
8,중국어 Ⅰ,10,287 ,13.8
9,중국어 Ⅰ,10미만,155 ,7.46
1,일본어 Ⅰ,45,185 ,10.25
2,일본어 Ⅰ,40,246 ,13.64
3,일본어 Ⅰ,35,197 ,10.92
4,일본어 Ⅰ,30,164 ,9.09
5,일본어 Ⅰ,25,133 ,7.37
6,일본어 Ⅰ,20,126 ,6.98
7,일본어 Ⅰ,15,220 ,12.2
8,일본어 Ⅰ,10,352 ,19.51
9,일본어 Ⅰ,10미만,181 ,10.03
1,러시아어 Ⅰ,45,12 ,6.22
2,러시아어 Ⅰ,40,28 ,14.51
3,러시아어 Ⅰ,35,38 ,19.69
4,러시아어 Ⅰ,30,37 ,19.17
5,러시아어 Ⅰ,25,7 ,3.63
6,러시아어 Ⅰ,20,11 ,5.7
7,러시아어 Ⅰ,15,14 ,7.25
8,러시아어 Ⅰ,10,22 ,11.4
9,러시아어 Ⅰ,10미만,24 ,12.44
1,아랍어 Ⅰ,45,30 ,5.98
2,아랍어 Ⅰ,40,10 ,1.99
3,아랍어 Ⅰ,35,17 ,3.39
4,아랍어 Ⅰ,30,11 ,2.19
5,아랍어 Ⅰ,25,21 ,4.18
6,아랍어 Ⅰ,20,36 ,7.17
7,아랍어 Ⅰ,15,111 ,22.11
8,아랍어 Ⅰ,10,193 ,38.45
9,아랍어 Ⅰ,10미만,73 ,14.54
1,베트남어 Ⅰ,45,9 ,7.03
2,베트남어 Ⅰ,40,11 ,8.59
3,베트남어 Ⅰ,35,8 ,6.25
4,베트남어 Ⅰ,30,14 ,10.94
5,베트남어 Ⅰ,25,5 ,3.91
6,베트남어 Ⅰ,20,10 ,7.81
7,베트남어 Ⅰ,15,21 ,16.41
8,베트남어 Ⅰ,10,35 ,27.34
9,베트남어 Ⅰ,10미만,15 ,11.72
1,한문 Ⅰ,45,78 ,5.12
2,한문 Ⅰ,40,114 ,7.49
3,한문 Ⅰ,35,116 ,7.62
4,한문 Ⅰ,30,218 ,14.32
5,한문 Ⅰ,25,256 ,16.82
6,한문 Ⅰ,20,278 ,18.27
7,한문 Ⅰ,15,225 ,14.78
8,한문 Ⅰ,10,170 ,11.17
9,한문 Ⅰ,10미만,67 ,4.4
