등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,132,16173,4.06
2,국어,125,27879,7.01
3,국어,117,49062,12.33
4,국어,108,66501,16.71
5,국어,96,80562,20.25
6,국어,83,68650,17.25
7,국어,71,49436,12.42
8,국어,66,26322,6.61
9,국어,66미만,13346,3.35
1,수학,134,16620,4.22
2,수학,126,28478,7.23
3,수학,118,50116,12.72
4,수학,108,64219,16.3
5,수학,91,80102,20.33
6,수학,79,73249,18.59
7,수학,75,46443,11.79
8,수학,72,21535,5.46
9,수학,72미만,13312,3.38
1,영어,90,21996,5.51
2,영어,80,53692,13.44
3,영어,70,78361,19.62
4,영어,60,82878,20.75
5,영어,50,59222,14.83
6,영어,40,38173,9.56
7,영어,30,24597,6.16
8,영어,20,27953,7
9,영어,20미만,12487,3.13
1,한국사,40,58495,14.63
2,한국사,35,49099,12.28
3,한국사,30,57697,14.43
4,한국사,25,60568,15.15
5,한국사,20,56985,14.25
6,한국사,15,50571,12.65
7,한국사,10,44823,11.21
8,한국사,5,18832,4.71
9,한국사,5미만,2748,0.69
1,생활과 윤리,66,7651,6.26
2,생활과 윤리,63,6116,5
3,생활과 윤리,58,17517,14.33
4,생활과 윤리,53,22558,18.46
5,생활과 윤리,47,22378,18.31
6,생활과 윤리,41,18663,15.27
7,생활과 윤리,36,14906,12.2
8,생활과 윤리,33,10392,8.5
9,생활과 윤리,33미만,2025,1.66
1,윤리와 사상,69,1583,5.64
2,윤리와 사상,65,1921,6.85
3,윤리와 사상,59,3008,10.72
4,윤리와 사상,51,5065,18.05
5,윤리와 사상,44,6272,22.35
6,윤리와 사상,42,4369,15.57
7,윤리와 사상,38,4802,17.11
8,윤리와 사상,-,-,-
9,윤리와 사상,38미만,1039,3.7
1,한국지리,69,2284,5.59
2,한국지리,65,2283,5.59
3,한국지리,58,5291,12.95
4,한국지리,51,7240,17.72
5,한국지리,45,9083,22.22
6,한국지리,41,5968,14.6
7,한국지리,40,4283,10.48
8,한국지리,36,3757,9.19
9,한국지리,36미만,680,1.66
1,세계지리,70,1690,5.56
2,세계지리,65,1730,5.7
3,세계지리,57,4093,13.48
4,세계지리,51,5484,18.06
5,세계지리,46,5470,18.01
6,세계지리,41,7084,23.32
7,세계지리,39,1508,4.97
8,세계지리,36,2437,8.02
9,세계지리,36미만,876,2.88
1,동아시아사,68,976,4.58
2,동아시아사,64,1957,9.18
3,동아시아사,59,2239,10.51
4,동아시아사,52,3748,17.59
5,동아시아사,45,4317,20.26
6,동아시아사,41,3251,15.25
7,동아시아사,38,3136,14.71
8,동아시아사,35,1232,5.78
9,동아시아사,35미만,457,2.14
1,세계사,72,743,4.61
2,세계사,66,1201,7.46
3,세계사,56,1883,11.7
4,세계사,50,2621,16.28
5,세계사,44,4969,30.86
6,세계사,42,2354,14.62
7,세계사,40,1032,6.41
8,세계사,39,691,4.29
9,세계사,39미만,606,3.76
1,경제,70,445,6.43
2,경제,66,397,5.74
3,경제,58,797,11.52
4,경제,50,1259,18.2
5,경제,45,1267,18.31
6,경제,42,1612,23.3
7,경제,40,413,5.97
8,경제,38,488,7.05
9,경제,38미만,241,3.48
1,정치와 법,68,1202,4.63
2,정치와 법,64,2152,8.29
3,정치와 법,59,2972,11.45
4,정치와 법,52,4707,18.13
5,정치와 법,46,5021,19.34
6,정치와 법,41,5042,19.42
7,정치와 법,37,3722,14.33
8,정치와 법,36,386,1.49
9,정치와 법,36미만,763,2.94
1,사회·문화,69,6125,5.08
2,사회·문화,64,9093,7.54
3,사회·문화,59,13770,11.42
4,사회·문화,51,23769,19.71
5,사회·문화,45,20948,17.37
6,사회·문화,41,22662,18.79
7,사회·문화,39,13620,11.3
8,사회·문화,36,8458,7.01
9,사회·문화,36미만,2136,1.77
1,물리학 Ⅰ,70,2451,4.48
2,물리학 Ⅰ,63,4308,7.88
3,물리학 Ⅰ,57,6772,12.38
4,물리학 Ⅰ,52,9008,16.47
5,물리학 Ⅰ,46,11931,21.81
6,물리학 Ⅰ,42,8021,14.66
7,물리학 Ⅰ,39,7057,12.9
8,물리학 Ⅰ,36,3544,6.48
9,물리학 Ⅰ,36미만,1605,2.93
1,화학 Ⅰ,67,2763,4.26
2,화학 Ⅰ,63,6650,10.24
3,화학 Ⅰ,59,7689,11.84
4,화학 Ⅰ,54,9217,14.2
5,화학 Ⅰ,46,13366,20.59
6,화학 Ⅰ,41,10587,16.31
7,화학 Ⅰ,38,7870,12.12
8,화학 Ⅰ,35,4273,6.58
9,화학 Ⅰ,35미만,2504,3.86
