등급,과목,구분 점수,인원(명),비율(퍼센트)
1,생명과학 Ⅰ,66,4857,4.3
2,생명과학 Ⅰ,63,7733,6.84
3,생명과학 Ⅰ,59,15737,13.92
4,생명과학 Ⅰ,54,18783,16.61
5,생명과학 Ⅰ,46,26053,23.04
6,생명과학 Ⅰ,41,15133,13.38
7,생명과학 Ⅰ,37,13956,12.34
8,생명과학 Ⅰ,34,6759,5.98
9,생명과학 Ⅰ,34미만,4065,3.59
1,지구과학 Ⅰ,67,6917,6.41
2,지구과학 Ⅰ,64,5638,5.23
3,지구과학 Ⅰ,59,14670,13.6
4,지구과학 Ⅰ,53,17231,15.97
5,지구과학 Ⅰ,46,21835,20.24
6,지구과학 Ⅰ,41,19538,18.11
7,지구과학 Ⅰ,37,11208,10.39
8,지구과학 Ⅰ,35,6621,6.14
9,지구과학 Ⅰ,35미만,4209,3.9
1,물리학 Ⅱ,70,247,5.26
2,물리학 Ⅱ,66,284,6.05
3,물리학 Ⅱ,58,593,12.64
4,물리학 Ⅱ,50,766,16.33
5,물리학 Ⅱ,44,1126,24
6,물리학 Ⅱ,42,864,18.41
7,물리학 Ⅱ,40,304,6.48
8,물리학 Ⅱ,37,436,9.29
9,물리학 Ⅱ,37미만,72,1.53
1,화학 Ⅱ,72,242,4.6
2,화학 Ⅱ,65,417,7.93
3,화학 Ⅱ,57,620,11.79
4,화학 Ⅱ,50,928,17.65
5,화학 Ⅱ,45,1042,19.82
6,화학 Ⅱ,43,850,16.17
7,화학 Ⅱ,40,654,12.44
8,화학 Ⅱ,37,358,6.81
9,화학 Ⅱ,37미만,147,2.8
1,생명과학 Ⅱ,70,577,6.04
2,생명과학 Ⅱ,66,691,7.23
3,생명과학 Ⅱ,58,954,9.98
4,생명과학 Ⅱ,49,1644,17.2
5,생명과학 Ⅱ,45,2053,21.48
6,생명과학 Ⅱ,42,1895,19.82
7,생명과학 Ⅱ,41,844,8.83
8,생명과학 Ⅱ,39,642,6.72
9,생명과학 Ⅱ,39미만,259,2.71
1,지구과학 Ⅱ,71,281,5.11
2,지구과학 Ⅱ,67,359,6.53
3,지구과학 Ⅱ,58,660,12
4,지구과학 Ⅱ,48,1024,18.62
5,지구과학 Ⅱ,44,1091,19.84
6,지구과학 Ⅱ,43,1115,20.28
7,지구과학 Ⅱ,41,460,8.37
8,지구과학 Ⅱ,38,420,7.64
9,지구과학 Ⅱ,38미만,89,1.62
1,성공적인 직업생활,67,287,4.27
2,성공적인 직업생활,63,595,8.86
3,성공적인 직업생활,59,905,13.47
4,성공적인 직업생활,55,934,13.9
5,성공적인 직업생활,45,1384,20.6
6,성공적인 직업생활,39,1487,22.13
7,성공적인 직업생활,38,604,8.99
8,성공적인 직업생활,35,439,6.53
9,성공적인 직업생활,35미만,84,1.25
1,농업 기초 기술,72,42,4.94
2,농업 기초 기술,65,57,6.71
3,농업 기초 기술,54,119,14
4,농업 기초 기술,48,162,19.06
5,농업 기초 기술,46,200,23.53
6,농업 기초 기술,45,79,9.29
7,농업 기초 기술,39,157,18.47
8,농업 기초 기술,-,-,-
9,농업 기초 기술,39미만,34,4
1,공업 일반,71,61,4.15
2,공업 일반,65,126,8.57
3,공업 일반,58,182,12.37
4,공업 일반,51,242,16.45
5,공업 일반,45,279,18.97
6,공업 일반,41,261,17.74
7,공업 일반,40,233,15.84
8,공업 일반,38,49,3.33
9,공업 일반,38미만,38,2.58
1,상업 경제,72,131,4.41
2,상업 경제,64,205,6.9
3,상업 경제,57,372,12.52
4,상업 경제,51,500,16.82
5,상업 경제,44,758,25.5
6,상업 경제,42,528,17.77
7,상업 경제,40,208,7
8,상업 경제,37,182,6.12
9,상업 경제,37미만,88,2.96
1,수산·해운 산업 기초,74,7,4.32
2,수산·해운 산업 기초,63,11,6.79
3,수산·해운 산업 기초,53,44,27.16
4,수산·해운 산업 기초,51,17,10.49
5,수산·해운 산업 기초,48,25,15.43
6,수산·해운 산업 기초,44,22,13.58
7,수산·해운 산업 기초,36,25,15.43
8,수산·해운 산업 기초,34,6,3.7
9,수산·해운 산업 기초,34미만,5,3.09
1,인간 발달,70,67,4.19
2,인간 발달,62,124,7.76
3,인간 발달,56,199,12.45
4,인간 발달,50,359,22.47
5,인간 발달,47,220,13.77
6,인간 발달,43,334,20.9
7,인간 발달,39,161,10.08
8,인간 발달,34,103,6.45
9,인간 발달,34미만,31,1.94
1,독일어 Ⅰ,45,15,2.53
2,독일어 Ⅰ,40,75,12.67
3,독일어 Ⅰ,35,125,21.11
4,독일어 Ⅰ,30,74,12.5
5,독일어 Ⅰ,25,61,10.3
6,독일어 Ⅰ,20,55,9.29
7,독일어 Ⅰ,15,61,10.3
8,독일어 Ⅰ,10,77,13.01
9,독일어 Ⅰ,10미만,49,8.28
1,프랑스어 Ⅰ,45,38,4.59
2,프랑스어 Ⅰ,40,86,10.4
3,프랑스어 Ⅰ,35,140,16.93
4,프랑스어 Ⅰ,30,132,15.96
5,프랑스어 Ⅰ,25,93,11.25
6,프랑스어 Ⅰ,20,63,7.62
7,프랑스어 Ⅰ,15,108,13.06
8,프랑스어 Ⅰ,10,108,13.06
9,프랑스어 Ⅰ,10미만,59,7.13
1,스페인어 Ⅰ,45,58,6.22
2,스페인어 Ⅰ,40,110,11.8
3,스페인어 Ⅰ,35,105,11.27
4,스페인어 Ⅰ,30,72,7.73
5,스페인어 Ⅰ,25,100,10.73
6,스페인어 Ⅰ,20,93,9.98
7,스페인어 Ⅰ,15,143,15.34
8,스페인어 Ⅰ,10,178,19.1
9,스페인어 Ⅰ,10미만,73,7.83
1,중국어 Ⅰ,45,308,12.98
2,중국어 Ⅰ,40,481,20.28
3,중국어 Ⅰ,35,361,15.22
4,중국어 Ⅰ,30,232,9.78
5,중국어 Ⅰ,25,173,7.29
6,중국어 Ⅰ,20,190,8.01
7,중국어 Ⅰ,15,251,10.58
8,중국어 Ⅰ,10,245,10.33
9,중국어 Ⅰ,10미만,131,5.52
1,일본어 Ⅰ,45,124,5.36
2,일본어 Ⅰ,40,273,11.8
3,일본어 Ⅰ,35,237,10.25
4,일본어 Ⅰ,30,227,9.81
5,일본어 Ⅰ,25,197,8.52
6,일본어 Ⅰ,20,209,9.04
7,일본어 Ⅰ,15,308,13.32
8,일본어 Ⅰ,10,462,19.97
9,일본어 Ⅰ,10미만,276,11.93
1,러시아어 Ⅰ,45,37,14.07
2,러시아어 Ⅰ,40,38,14.45
3,러시아어 Ⅰ,35,26,9.89
4,러시아어 Ⅰ,30,18,6.84
5,러시아어 Ⅰ,25,12,4.56
6,러시아어 Ⅰ,20,4,1.52
7,러시아어 Ⅰ,15,21,7.98
8,러시아어 Ⅰ,10,56,21.29
9,러시아어 Ⅰ,10미만,51,19.39
1,아랍어 Ⅰ,45,32,3.17
2,아랍어 Ⅰ,40,20,1.98
3,아랍어 Ⅰ,35,21,2.08
4,아랍어 Ⅰ,30,35,3.47
5,아랍어 Ⅰ,25,54,5.35
6,아랍어 Ⅰ,20,93,9.22
7,아랍어 Ⅰ,15,237,23.49
8,아랍어 Ⅰ,10,376,37.26
9,아랍어 Ⅰ,10미만,141,13.97
1,베트남어 Ⅰ,45,21,14.79
2,베트남어 Ⅰ,40,4,2.82
3,베트남어 Ⅰ,35,3,2.11
4,베트남어 Ⅰ,30,5,3.52
5,베트남어 Ⅰ,25,3,2.11
6,베트남어 Ⅰ,20,8,5.63
7,베트남어 Ⅰ,15,16,11.27
8,베트남어 Ⅰ,10,52,36.62
9,베트남어 Ⅰ,10미만,30,21.13
1,한문 Ⅰ,45,30,2.86
2,한문 Ⅰ,40,55,5.25
3,한문 Ⅰ,35,95,9.06
4,한문 Ⅰ,30,138,13.17
5,한문 Ⅰ,25,171,16.32
6,한문 Ⅰ,20,170,16.22
7,한문 Ⅰ,15,199,18.99
8,한문 Ⅰ,10,143,13.65
9,한문 Ⅰ,10미만,47,4.48
