등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,130,15496,4.08
2,국어,124,29199,7.7
3,국어,117,44870,11.83
4,국어,108,64982,17.13
5,국어,97,76432,20.15
6,국어,85,62401,16.45
7,국어,70,47071,12.41
8,국어,62,24384,6.43
9,국어,62미만,14561,3.84
1,수학,134,20068,5.34
2,수학,127,23745,6.32
3,수학,118,43690,11.63
4,수학,106,65338,17.39
5,수학,92,75505,20.09
6,수학,80,66596,17.72
7,수학,75,44252,11.78
8,수학,71,22673,6.03
9,수학,71미만,13915,3.7
1,영어,90,29042,7.62
2,영어,80,56952,14.95
3,영어,70,83074,21.81
4,영어,60,77463,20.33
5,영어,50,44165,11.59
6,영어,40,29559,7.76
7,영어,30,23252,6.1
8,영어,20,27297,7.17
9,영어,20미만,10156,2.67
1,한국사,40,54103,14.18
2,한국사,35,41090,10.77
3,한국사,30,52581,13.78
4,한국사,25,62048,16.26
5,한국사,20,60517,15.86
6,한국사,15,45952,12.04
7,한국사,10,42627,11.17
8,한국사,5,19839,5.2
9,한국사,5미만,2916,0.76
1,생활과 윤리,67,5074,4.26
2,생활과 윤리,63,9308,7.81
3,생활과 윤리,59,15016,12.59
4,생활과 윤리,53,20678,17.34
5,생활과 윤리,47,23111,19.38
6,생활과 윤리,41,19997,16.77
7,생활과 윤리,37,14153,11.87
8,생활과 윤리,35,7194,6.03
9,생활과 윤리,35미만,4704,3.95
1,윤리와 사상,65,2675,8.47
2,윤리와 사상,64,970,3.07
3,윤리와 사상,60,4264,13.51
4,윤리와 사상,53,5744,18.2
5,윤리와 사상,45,5486,17.38
6,윤리와 사상,41,5169,16.38
7,윤리와 사상,38,4718,14.95
8,윤리와 사상,36,1407,4.46
9,윤리와 사상,36미만,1131,3.58
1,한국지리,69,1390,4.71
2,한국지리,64,2570,8.7
3,한국지리,59,2992,10.13
4,한국지리,52,5215,17.65
5,한국지리,46,5959,20.17
6,한국지리,41,5055,17.11
7,한국지리,38,3991,13.51
8,한국지리,36,1514,5.13
9,한국지리,36미만,854,2.89
1,세계지리,67,2122,8.79
2,세계지리,65,548,2.27
3,세계지리,59,3197,13.24
4,세계지리,52,3933,16.28
5,세계지리,46,4705,19.48
6,세계지리,41,4107,17
7,세계지리,38,3436,14.23
8,세계지리,35,1203,4.98
9,세계지리,35미만,903,3.74
1,동아시아사,69,785,5.01
2,동아시아사,64,1254,8
3,동아시아사,58,1906,12.15
4,동아시아사,52,2555,16.29
5,동아시아사,46,3197,20.38
6,동아시아사,41,2436,15.53
7,동아시아사,38,2169,13.83
8,동아시아사,34,1224,7.8
9,동아시아사,34미만,158,1.01
1,세계사,68,801,6.09
2,세계사,66,701,5.33
3,세계사,60,1604,12.2
4,세계사,52,2404,18.29
5,세계사,45,2589,19.69
6,세계사,40,3120,23.73
7,세계사,38,1148,8.73
8,세계사,36,459,3.49
9,세계사,36미만,321,2.44
1,경제,70,246,4.4
2,경제,66,370,6.62
3,경제,58,744,13.31
4,경제,51,1090,19.51
5,경제,45,1063,19.02
6,경제,40,853,15.26
7,경제,39,967,17.3
8,경제,38,45,0.81
9,경제,38미만,210,3.76
1,정치와 법,65,1607,7.01
2,정치와 법,63,1211,5.28
3,정치와 법,59,3356,14.64
4,정치와 법,54,3396,14.82
5,정치와 법,47,4612,20.12
6,정치와 법,40,3538,15.44
7,정치와 법,37,3446,15.03
8,정치와 법,35,965,4.21
9,정치와 법,35미만,789,3.44
1,사회·문화,64,6025,5.62
2,사회·문화,62,9488,8.85
3,사회·문화,60,9748,9.09
4,사회·문화,54,22665,21.14
5,사회·문화,47,20269,18.9
6,사회·문화,40,15697,14.64
7,사회·문화,35,14534,13.56
8,사회·문화,34,5574,5.2
9,사회·문화,34미만,3222,3
1,물리학 Ⅰ,67,2731,5.01
2,물리학 Ⅰ,64,3415,6.27
3,물리학 Ⅰ,59,8053,14.77
4,물리학 Ⅰ,53,7993,14.66
5,물리학 Ⅰ,45,12953,23.76
6,물리학 Ⅰ,41,7396,13.57
7,물리학 Ⅰ,38,6929,12.71
8,물리학 Ⅰ,36,3193,5.86
9,물리학 Ⅰ,36미만,1845,3.38
1,화학 Ⅰ,67,2415,4.75
2,화학 Ⅰ,63,4218,8.3
3,화학 Ⅰ,59,5703,11.22
4,화학 Ⅰ,53,8819,17.34
5,화학 Ⅰ,46,10461,20.57
6,화학 Ⅰ,41,8725,17.16
7,화학 Ⅰ,37,6409,12.6
8,화학 Ⅰ,35,2362,4.65
9,화학 Ⅰ,35미만,1733,3.41
1,생명과학 Ⅰ,66,6698,5.38
2,생명과학 Ⅰ,63,7782,6.24
3,생명과학 Ⅰ,59,16544,13.28
4,생명과학 Ⅰ,54,21289,17.08
5,생명과학 Ⅰ,47,24197,19.42
6,생명과학 Ⅰ,41,21526,17.27
7,생명과학 Ⅰ,36,14060,11.28
8,생명과학 Ⅰ,33,9409,7.55
9,생명과학 Ⅰ,33미만,3107,2.49
1,지구과학 Ⅰ,68,5157,4.01
2,지구과학 Ⅰ,64,10484,8.16
3,지구과학 Ⅰ,59,15380,11.97
4,지구과학 Ⅰ,52,22784,17.73
5,지구과학 Ⅰ,46,24034,18.7
6,지구과학 Ⅰ,41,24293,18.91
7,지구과학 Ⅰ,38,14019,10.91
8,지구과학 Ⅰ,35,8274,6.44
9,지구과학 Ⅰ,35미만,4073,3.17
1,물리학 Ⅱ,76,156,4.32
2,물리학 Ⅱ,62,261,7.22
3,물리학 Ⅱ,54,456,12.62
4,물리학 Ⅱ,49,668,18.49
5,물리학 Ⅱ,46,918,25.41
6,물리학 Ⅱ,44,393,10.88
7,물리학 Ⅱ,41,443,12.26
8,물리학 Ⅱ,39,197,5.45
9,물리학 Ⅱ,39미만,121,3.35
1,화학 Ⅱ,75,138,4.07
2,화학 Ⅱ,63,250,7.38
3,화학 Ⅱ,53,479,14.14
4,화학 Ⅱ,49,617,18.21
5,화학 Ⅱ,46,671,19.81
6,화학 Ⅱ,44,575,16.97
7,화학 Ⅱ,41,354,10.45
8,화학 Ⅱ,39,184,5.43
9,화학 Ⅱ,39미만,120,3.54
1,생명과학 Ⅱ,75,257,4.08
2,생명과학 Ⅱ,61,508,8.07
3,생명과학 Ⅱ,54,755,11.99
4,생명과학 Ⅱ,50,1062,16.87
5,생명과학 Ⅱ,46,1466,23.28
6,생명과학 Ⅱ,43,1079,17.14
7,생명과학 Ⅱ,41,732,11.62
8,생명과학 Ⅱ,38,254,4.03
9,생명과학 Ⅱ,38미만,184,2.92
1,지구과학 Ⅱ,71,168,4.21
